,id_eq,FCAO,SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,K2O,Na2O,C3S,C2S,C3A,C4AF,A/S," ""CaO""  [CurrentProduct.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"
3465,0,1.86,20.74655,4.870823,2.360694,66.69006,2.790123,1.59521,0.6085219,0.3902448,70.151412926,0.846077990865588,8.913386702,7.183591842,0.6403123451725848,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3467,2,2.14,20.9297,4.94115,2.35399,66.3289,2.881785,1.571891,0.666722,0.4081487,65.6864405,3.879618767039993,9.11109642,7.16319157,0.6960192930644503,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3469,2,1.72,21.03746,4.845152,2.323165,66.50318,2.839897,1.325274,0.594941,0.3804083,67.97577269400001,3.7513826878864123,8.90885762,7.069391095,0.7524347307140149,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3470,0,1.67,20.66737,4.848819,2.361129,66.4985,2.797447,1.553735,0.5957638,0.3892392,70.89403098800004,0.6423587208927941,8.854340082,7.184915547,0.6495812672745699,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3471,0,1.75,20.70658,4.790758,2.342509,66.68516,2.784528,1.56987,0.5975496,0.3854644,71.44692824599997,0.09197510745762116,8.731983472,7.128254887000001,0.6407704271173208,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3472,1,1.83,20.95,4.93,2.35,65.9,2.89,1.45,0.68,0.41,65.12873000000002,5.310308895999988,9.088299999999998,7.151050000000001,0.7639694222895417,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3473,0,1.95,20.82953,4.794229,2.324273,66.66032,2.784178,1.640908,0.6324345,0.3992366,69.599943908,1.2236052620448206,8.772036933999999,7.072762739,0.6419531915619733,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3474,0,1.9,20.69733,4.890277,2.366265,66.67302,2.798117,1.656486,0.6462777,0.3973826,70.15461658399992,0.5797009152704433,8.955513670000002,7.200544395,0.6415842430322798,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3475,1,1.87,21.14171,4.874661,2.358409,66.60538,2.84989,1.320585,0.5843011,0.3857369,66.74023851199993,4.521680064787219,8.927423622,7.176638587,0.7534559033859678,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3476,2,1.76,21.13973,4.86906,2.358322,66.62383,2.858152,1.310697,0.5852038,0.3790205,67.31595838999996,4.41950819282404,8.912728176000002,7.176373846,0.7531141804028406,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3477,0,1.97,20.82758,4.908752,2.379625,66.45388,2.779126,1.562299,0.6272339,0.3897159,67.84440779399998,2.4809678084464153,8.981867300000001,7.241198875,0.6635575590286076,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3478,0,1.86,20.82547,4.857004,2.353492,66.70138,2.763199,1.588813,0.6312103,0.3849466,69.70083954800003,1.4122541872288181,8.888952136,7.161676156,0.650740864810226,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3479,0,1.9,20.74022,4.884082,2.358899,66.67101,2.742955,1.6348,0.6512397,0.393209,69.8726212639999,0.9154038146784629,8.951560191999999,7.178129657,0.6493840254492247,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3480,0,1.98,20.82529,4.889832,2.366155,66.90754,2.749516,1.557275,0.6342262,0.3874246,69.81431831399995,0.9575902581584401,8.95452054,7.200209665,0.6676211256206024,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3482,2,1.55,21.0523,4.939602,2.376271,66.36382,2.850607,1.601174,0.6431167,0.4001347,67.27726745399998,4.842978928942436,9.069294767999999,7.230992653,0.6642852059874848,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3483,0,1.44,20.77901,4.895753,2.366971,66.45374,2.785569,1.59006,0.655879,0.3886318,70.47602235599999,1.984143664873642,8.968830517999999,7.202692753,0.6664247139817336,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3484,0,1.64,20.74416,4.892237,2.37396,66.46446,2.737538,1.59498,0.6497578,0.3826982,69.983949694,1.6412158510864074,8.947687729999998,7.22396028,0.6563025810570576,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3485,1,1.47,20.86358,4.928474,2.392372,66.9272,2.926681,1.281826,0.5780941,0.3712499,71.38247290800004,1.450644686444818,9.012562675999998,7.279987996,0.757534257969227,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3486,2,2.0,20.82561,4.879923,2.351616,66.47392,2.857387,1.495836,0.6383612,0.3951466,68.05255872600002,2.226155883345612,8.952861678,7.155967488,0.7040562657301574,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3487,0,1.84,20.7316,4.902018,2.364911,66.36164,2.743859,1.581518,0.6518815,0.3841477,68.79385678599996,1.888779940881662,8.988918287999999,7.196424173000001,0.6642145189434138,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3488,1,1.12,21.11172,4.862532,2.361622,66.28793,2.837308,1.400391,0.6210695,0.3789733,68.80596159400001,5.180689041726389,8.889845375999998,7.186415746000001,0.7266310578157497,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3489,2,2.17,20.82646,4.941437,2.376623,66.41316,2.859245,1.468891,0.6255712,0.3951819,66.65766370400002,2.758804029942411,9.073561934,7.232063789000001,0.7095918964095047,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3490,0,1.78,20.68498,4.89268,2.382806,66.61333,2.743417,1.513341,0.62268,0.3764871,70.45420161000003,0.6868260096560022,8.933894248000001,7.250878658,0.671183977691431,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3491,0,1.71,20.75262,4.858611,2.372753,66.8953,2.72704,1.568707,0.6406578,0.379656,71.61625881200007,0.21907530446720358,8.860621074,7.220287379,0.6598551485576869,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3492,2,1.36,21.12832,4.947835,2.389775,66.65607,2.883599,1.423312,0.6030293,0.3980573,68.58813519000003,4.6555305049040285,9.06826345,7.272085325000001,0.7214431889231314,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3493,0,1.68,20.72343,4.863853,2.367058,66.56826,2.70355,1.623121,0.6756877,0.3871463,70.60178106599996,0.9928444580496247,8.884148313999997,7.2029574940000005,0.6620559863407308,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3494,0,1.608922,20.74953,4.945296,2.404998,66.36692,2.706287,1.579808,0.6625473,0.3776159,69.27173618999993,2.2893510935712413,9.035777784,7.318408914,0.6653443742111931,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
3495,0,1.674442,20.75467,4.872795,2.364071,66.51319,2.675993,1.625412,0.686711,0.3800697,70.10699276799996,1.472747350680038,8.912898618,7.193868053,0.6612769007156669,41.66631,14.34193,3.27718,1.50156,2.73787,0.782826367594357,0.7671962325101076,0.2509098477235714,0.15721853444888076,0.4121339952386072
