Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis], "MgO"  [CurrentAnalysis.Dry basis]
1, 11/02/2024 07:48:48, 60.059, 0, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 98.17924, 88.32815, 2.90639, 2.16373, 1153.23548, 2.20542, 87.26241, 2.95388, 1127.60506, 40.75482, 40.57629, 3.15972, 3.4519, 3.4606, 1.56914, 3.43351, 1.58685, 14.85725, 14.59111, 2.67586, 43.50299, 2.05255, 1.70797, 3.50569, 13.95103, 1204.44, 354.4403, 1.35307
2, 11/02/2024 07:49:48, 60.06, 60.06, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 102.27088, 89.64872, 2.95589, 2.07495, 1169.70893, 2.15144, 88.06757, 2.98181, 1136.28581, 40.94858, 40.92188, 3.07426, 3.28975, 3.39098, 1.57615, 3.31772, 1.59894, 14.81104, 14.53311, 3.56146, 44.08861, 1.33525, 1.68972, 2.2562, 14.05322, 1280.46, 375.7812, 1.68162
3, 11/02/2024 07:50:48, 60.065, 60.06, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 96.00098, 90.40027, 2.91354, 2.08238, 1178.9021, 2.14971, 88.45001, 2.97135, 1140.94778, 40.95746, 40.85067, 3.09367, 3.41073, 3.38682, 1.57548, 3.33062, 1.59943, 14.74474, 14.36389, 2.77745, 41.11474, 2.11794, 1.56322, 3.3108, 13.53735, 1226.64, 396.2251, 3.44627
4, 11/02/2024 07:51:48, 60.054, 60.07, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 109.09235, 90.51844, 2.86891, 2.12644, 1188.8043, 2.16587, 89.34087, 2.94067, 1145.77819, 41.08334, 41.03338, 3.03103, 3.20127, 3.40235, 1.5709, 3.40934, 1.60331, 14.62467, 14.38084, 2.37999, 43.48448, 2.49346, 1.48331, 3.69856, 12.33278, 1238.5, 416.8667, 1.83547
5, 11/02/2024 07:52:48, 60.062, 60.05, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 105.47234, 91.67298, 2.93807, 2.07403, 1195.43436, 2.13185, 90.0091, 2.9571, 1148.7669, 41.14667, 41.24546, 3.04319, 3.1351, 3.34932, 1.57109, 3.28732, 1.58499, 14.55017, 14.31523, 3.38673, 42.41121, 1.44499, 1.57439, 2.27497, 13.03676, 1210.52, 437.0421, 3.28805
6, 11/02/2024 07:53:48, 60.059, 60.06, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 93.9517, 92.29296, 2.96065, 2.08945, 1200.78747, 2.13645, 90.17685, 2.95759, 1150.35975, 41.19762, 41.498, 3.00777, 2.96257, 3.34895, 1.56753, 3.27045, 1.56522, 14.54097, 14.31672, 2.96868, 42.32744, 2.24432, 1.48854, 3.34076, 14.33667, 1185.59, 456.8019, 2.22215
7, 11/02/2024 07:54:48, 60.059, 60.06, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 103.55117, 93.39648, 2.97511, 2.08597, 1208.48823, 2.13632, 90.68252, 2.9508, 1152.83053, 41.20852, 41.53652, 3.04382, 3.03028, 3.33793, 1.56247, 3.21911, 1.54322, 14.46009, 14.16846, 2.78679, 41.4402, 2.133, 1.44924, 3.09124, 12.65335, 1208.85, 476.9495, 3.84656
8, 11/02/2024 07:55:48, 60.061, 60.06, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 100.40269, 94.672, 3.00589, 2.02081, 1215.67606, 2.11177, 91.06415, 2.9733, 1155.92476, 41.25879, 41.67676, 3.05227, 3.0229, 3.2938, 1.55973, 3.12591, 1.54686, 14.43103, 14.0458, 3.6354, 42.37717, 1.52928, 1.49669, 2.28885, 13.76197, 1228.03, 497.4167, 3.24259
9, 11/02/2024 07:56:48, 60.059, 60.06, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 91.83725, 95.72778, 2.95665, 2.03734, 1216.50991, 2.11875, 91.09362, 2.9618, 1157.39459, 41.27076, 41.78716, 3.0358, 2.97219, 3.30846, 1.56152, 3.1538, 1.548, 14.4239, 13.90157, 2.69546, 41.56973, 2.2896, 1.60631, 3.67781, 14.24309, 1194.13, 517.3189, 2.62042
10, 11/02/2024 07:57:48, 66.066, 60.06, Pila 1024 Sur[Pila 1024 Sur], AC mantencion 03-03-2016 ., 90.42197, 96.53097, 2.93782, 2.02552, 1218.05725, 2.11416, 91.06561, 2.9695, 1158.30925, 41.22385, 41.82008, 3.07605, 2.99612, 3.29587, 1.55895, 3.14209, 1.55125, 14.41638, 13.78821, 3.15666, 40.16689, 2.00668, 1.50109, 3.01221, 14.24696, 1178.95, 540.243, 3.98282
