Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"
1, 09/03/2023 07:59:28,60.059,0, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,97.75137,93.64753,2.84179,2.07082,1213.34142,1.92785,95.43795,2.88237,1188.13384,42.23564,42.21653,2.41539,2.18243,3.21287,1.66656,3.39119,1.63761,14.06432,14.29078,2.82665,41.74621,2.67079,2.30422,1.44667,3.33344,13.51169,1085.59
2, 09/03/2023 08:00:28,60.058,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,90.25172,93.63161,2.82597,2.11441,1213.59935,1.93952,95.36044,2.87726,1188.61369,42.22256,42.15184,2.41518,2.2208,3.22594,1.66327,3.42546,1.62005,14.06753,14.25848,2.57132,41.3268,2.40083,2.86207,1.43847,4.11699,14.28484,1221.02
3, 09/03/2023 08:01:28,60.061,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,86.60733,92.98843,2.8587,2.09416,1213.17264,1.94369,95.22704,2.88172,1188.67393,42.22221,42.13536,2.4054,2.16331,3.22825,1.66089,3.40261,1.62481,14.08913,14.37188,3.19941,42.19007,1.70951,2.27402,1.49141,3.3915,15.62243,1192.9
4, 09/03/2023 08:02:28,60.061,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,85.71777,93.33133,2.87603,2.13138,1210.51891,1.94408,95.08622,2.88874,1188.23032,42.22165,42.23748,2.39475,2.091,3.22621,1.6595,3.39854,1.59453,14.11355,14.36025,3.43554,42.17886,1.60859,1.97509,1.5572,3.0756,15.91617,1155.65
5, 09/03/2023 08:03:29,60.059,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,95.28393,93.98057,2.90592,2.14715,1207.35726,1.94278,95.0889,2.89425,1187.77813,42.23531,42.36718,2.38296,2.03425,3.22098,1.65793,3.36204,1.56581,14.1208,14.31993,3.353,43.25262,1.50518,1.83819,1.54058,2.83188,14.66086,1154.07
6, 09/03/2023 08:04:29,60.06,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,98.33132,96.59298,2.92432,2.15784,1198.02337,1.94512,95.12919,2.89431,1187.18426,42.22725,42.60595,2.39526,2.05863,3.22022,1.65554,3.27607,1.51822,14.11193,14.02005,2.89851,41.6143,3.32628,2.14436,1.47461,3.1621,13.43954,1141.84
7, 09/03/2023 08:05:29,60.06,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,99.56592,97.89529,2.93171,2.17039,1186.33795,1.94527,95.18196,2.89459,1186.46936,42.21262,42.51521,2.41328,2.2501,3.21712,1.65381,3.22404,1.48547,14.09936,13.80691,2.91866,41.07674,3.80444,1.95803,1.52044,2.97706,13.12665,1130.62
8, 09/03/2023 08:06:29,60.063,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,90.3946,97.86406,2.95373,2.14134,1176.62194,1.94008,95.1224,2.90003,1185.39486,42.19334,42.49402,2.43144,2.29213,3.20948,1.65431,3.18894,1.48923,14.10514,13.81804,3.39691,40.63577,3.89248,1.53202,1.69377,2.59488,14.56816,1097.84
9, 09/03/2023 08:07:29,60.058,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,99.70841,97.72381,2.93766,2.16712,1172.1007,1.93994,95.17861,2.9025,1184.70145,42.216,42.51153,2.41477,2.25766,3.2068,1.65304,3.22212,1.48682,14.10572,13.83328,3.115,44.03448,1.07656,1.92787,1.55167,2.99141,14.15171,1129.09
10, 09/03/2023 08:08:29,60.061,60.06, Pila 1823 norte[Pila 1823 norte], AC mantencion 03-03-2016 .,82.99104,96.46613,2.92794,2.20689,1165.31405,1.94706,95.01973,2.90254,1183.75928,42.19445,42.4674,2.42734,2.21567,3.21433,1.65086,3.28835,1.49004,14.12144,13.99084,2.90541,40.40356,3.47257,2.61295,1.46971,3.84027,15.42765,1105.63
