Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"
1, 25/03/2023 11:10:43,60.061,0, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,103.50236,92.5148,2.79165,2.48801,1042.93319,2.77655,103.50236,2.56371,959.498,41.62583,41.57104,3.82594,2.78739,3.59794,1.29583,3.62387,1.45653,12.54622,14.1827,2.56371,41.62583,3.82594,2.77655,1.29583,3.59794,12.54622,959.498
2, 25/03/2023 11:11:43,60.058,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,63.888,90.48255,2.74872,2.47334,1042.18371,2.33394,79.5527,2.6361,1013.30942,39.59899,41.36149,3.46718,2.8026,4.14738,1.77698,3.73131,1.50861,15.61718,14.40306,2.68522,37.59534,3.11824,2.08831,2.23459,4.66651,18.53098,1061.93
3, 25/03/2023 11:12:43,60.061,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,63.9249,88.48868,2.69694,2.44574,1041.47342,2.21224,73.69319,2.59972,1029.89513,38.88664,41.16472,3.32682,2.78827,4.38149,1.98057,3.84945,1.57394,16.53956,14.62655,2.54111,37.46466,3.04929,2.03381,2.37895,4.83833,18.33991,1061.48
4, 25/03/2023 11:13:43,60.06,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,59.7162,85.91923,2.73235,2.35077,1042.21001,2.07768,69.66156,2.69153,1045.34505,38.45384,40.93391,3.17546,2.76969,4.3615,2.09922,3.85407,1.63949,17.38924,15.0103,2.94357,37.17226,2.73317,1.76025,2.4433,4.30083,19.85181,1089.08
5, 25/03/2023 11:14:43,60.057,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,59.27387,83.9541,2.72869,2.32968,1037.40969,2.05199,67.45272,2.74579,1042.17765,38.02902,40.70668,3.30214,2.7947,4.35974,2.12463,3.91689,1.6813,17.80474,15.27573,2.96451,36.27975,3.82179,1.95268,2.22868,4.35191,19.50825,1029.34
6, 25/03/2023 11:15:43,60.063,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,65.39841,82.29948,2.72471,2.28211,1038.28134,2.04232,67.09715,2.71824,1047.35947,38.02425,40.54381,3.1704,2.74768,4.41495,2.16173,3.96104,1.7357,17.87703,15.52197,2.59315,37.99358,2.52131,1.99914,2.34396,4.68591,18.22951,1072.49
7, 25/03/2023 11:16:44,60.058,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,75.68435,81.41246,2.7274,2.2286,1050.19271,2.04495,68.41787,2.7303,1072.77126,38.39654,40.49959,2.96592,2.65044,4.35682,2.13053,3.96856,1.78074,17.71241,15.68064,2.79839,40.32077,1.90815,2.05988,1.96904,4.05599,16.86035,1205.07
8, 25/03/2023 11:17:44,60.061,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,73.88162,80.62128,2.7359,2.21074,1056.77349,2.06638,69.12551,2.73441,1086.75677,38.43705,40.2579,3.06011,2.83605,4.32515,2.09311,3.96317,1.79269,17.55019,15.74743,2.76236,38.6843,3.65027,2.22044,1.85812,4.12584,16.52985,1175.72
9, 25/03/2023 11:18:44,60.062,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,78.83026,79.78438,2.743,2.17471,1068.33252,2.06817,70.24402,2.73305,1103.04303,38.64638,40.12438,3.00843,2.86493,4.28251,2.07068,3.96273,1.82219,17.36358,15.86806,2.72264,40.11305,2.64505,2.08196,1.91286,3.98249,16.05095,1218.7
10, 25/03/2023 11:19:44,60.057,60.06, Pila 2223 Norte[Pila 2223 Norte], AC mantencion 03-03-2016 .,83.72866,78.84002,2.74304,2.1513,1088.87071,2.05368,71.71223,2.73519,1126.91932,39.00228,40.07727,2.85705,2.79851,4.22123,2.05544,3.99233,1.85577,17.1679,16.04159,2.75277,41.61869,1.73659,1.93946,1.94203,3.76648,15.71423,1307.25
