Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis], "MgO"  [CurrentAnalysis.Dry basis]
1, 24/03/2024 10:20:44, 60.062, 0, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 89.30244, 94.90531, 2.98221, 2.3506, 1165.50527, 2.33196, 100.09693, 3.0085, 1155.81954, 42.39683, 41.95618, 2.69454, 2.66724, 3.13865, 1.34593, 3.30924, 1.40783, 13.4919, 14.06731, 2.37389, 41.04157, 2.59214, 1.66603, 4.31858, 14.20682, 1192.75, 368.441, 2.62906
2, 24/03/2024 10:21:44, 60.057, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 90.43998, 93.09751, 2.92527, 2.37809, 1165.1465, 2.32442, 99.57854, 2.98678, 1156.81423, 42.35583, 41.76296, 2.67746, 2.65409, 3.16942, 1.36353, 3.42743, 1.44125, 13.53889, 14.24221, 2.64523, 41.55997, 2.21033, 1.69971, 3.75691, 14.43398, 1175.52, 388.0331, 2.3502
3, 24/03/2024 10:22:44, 60.061, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 83.4633, 91.10342, 2.92776, 2.32552, 1164.63316, 2.29552, 98.73214, 2.98523, 1155.34332, 42.3128, 41.58431, 2.64913, 2.64624, 3.18323, 1.38672, 3.4626, 1.48895, 13.64235, 14.49696, 2.95774, 41.39694, 1.85313, 1.8741, 3.47296, 15.81525, 1124.9, 406.7814, 2.05243
4, 24/03/2024 10:23:44, 60.06, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 101.2039, 90.61944, 2.9039, 2.33689, 1164.63246, 2.3061, 98.84605, 2.96838, 1157.36141, 42.32357, 41.49914, 2.63789, 2.66955, 3.20073, 1.38794, 3.50424, 1.49953, 13.62094, 14.53045, 2.65371, 42.54173, 2.51693, 1.41286, 3.55607, 13.18612, 1198.46, 426.7558, 2.40976
5, 24/03/2024 10:24:44, 60.059, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 87.24984, 89.0616, 2.97072, 2.26234, 1172.57607, 2.26275, 98.23265, 3.01381, 1162.32463, 42.33235, 41.41392, 2.60357, 2.64159, 3.16047, 1.39674, 3.45418, 1.52682, 13.73455, 14.79713, 4.0984, 42.51034, 1.48488, 1.57589, 2.34001, 16.04893, 1262.95, 447.805, 1.90415
6, 24/03/2024 10:25:44, 60.062, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 76.31824, 87.92653, 2.96346, 2.2787, 1173.41594, 2.27867, 97.16796, 3.01712, 1162.57363, 42.23331, 41.23881, 2.61704, 2.70224, 3.19106, 1.40041, 3.49897, 1.53551, 13.85304, 14.91949, 3.08343, 39.84345, 2.63358, 1.48617, 3.91395, 16.65089, 1168.3, 467.2767, 2.93427
7, 24/03/2024 10:26:44, 60.058, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 77.67664, 86.76946, 2.95103, 2.3005, 1174.25072, 2.28809, 96.30926, 3.01785, 1161.36783, 42.12442, 41.13798, 2.64352, 2.65284, 3.21441, 1.40484, 3.56011, 1.54754, 13.9402, 15.0728, 3.03365, 39.35278, 2.5083, 1.51638, 3.80353, 16.13875, 1131.49, 486.1348, 3.31196
8, 24/03/2024 10:27:44, 60.06, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 86.7216, 87.10372, 2.94944, 2.28764, 1176.71211, 2.29254, 95.90672, 3.00494, 1162.48056, 42.09778, 41.12993, 2.62458, 2.67389, 3.24006, 1.4133, 3.54166, 1.54817, 13.98307, 15.01215, 2.73498, 41.42312, 2.38851, 1.62372, 3.87827, 15.04781, 1189.76, 505.9641, 2.15207
9, 24/03/2024 10:28:44, 60.061, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 81.78688, 87.15734, 2.89337, 2.33265, 1177.91294, 2.30292, 95.30699, 2.99268, 1164.49202, 42.03425, 41.09712, 2.62423, 2.6777, 3.27172, 1.42068, 3.61791, 1.55099, 14.04285, 14.95554, 2.73786, 40.41231, 2.53448, 1.60762, 4.07447, 15.55675, 1214.76, 526.2102, 2.61469
10, 24/03/2024 10:29:44, 60.058, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 78.46478, 86.22861, 2.90149, 2.32717, 1183.32376, 2.29533, 94.59274, 2.99372, 1166.9263, 41.96312, 40.98388, 2.62933, 2.704, 3.28667, 1.43189, 3.63527, 1.5621, 14.12603, 15.08012, 3.01722, 40.08874, 2.13177, 1.7247, 3.67666, 16.2971, 1229.44, 546.7008, 2.7618
11, 24/03/2024 10:30:44, 60.063, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 83.77758, 86.16662, 2.94153, 2.28525, 1183.815, 2.29282, 94.16763, 3.00254, 1168.16393, 41.9495, 41.00463, 2.61863, 2.71208, 3.29074, 1.43523, 3.57672, 1.56513, 14.1899, 15.12491, 3.23346, 41.57701, 2.22847, 1.52658, 3.40194, 15.93617, 1201.94, 566.7331, 2.32624
12, 24/03/2024 10:31:44, 60.058, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 82.85801, 85.36438, 2.94964, 2.28723, 1180.02808, 2.30707, 93.78241, 2.98877, 1166.51422, 41.89969, 40.96933, 2.62502, 2.67797, 3.31986, 1.43899, 3.59931, 1.57365, 14.22314, 15.25836, 2.63979, 40.3433, 2.71473, 1.55506, 4.22157, 15.24908, 1116.26, 585.3374, 2.82205
13, 24/03/2024 10:32:44, 60.06, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 90.35825, 85.4917, 2.89304, 2.34864, 1179.2774, 2.31513, 93.68067, 2.98135, 1164.27424, 41.83632, 40.92068, 2.66584, 2.68611, 3.32917, 1.43801, 3.68015, 1.56693, 14.21261, 15.18, 2.75543, 39.7963, 2.58041, 1.40629, 3.6288, 13.87383, 1092.25, 603.5416, 3.97994
14, 24/03/2024 10:33:45, 60.061, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 98.19956, 85.98378, 2.89532, 2.33605, 1174.09149, 2.30408, 93.81545, 2.98322, 1163.82759, 41.84871, 40.99609, 2.65656, 2.64822, 3.3189, 1.44044, 3.65761, 1.56573, 14.19817, 15.12327, 3.04508, 42.23551, 1.97606, 1.51676, 2.99722, 13.74545, 1149.76, 622.7043, 2.36596
15, 24/03/2024 10:34:45, 60.06, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 86.20729, 85.91928, 2.89659, 2.32045, 1174.89055, 2.31707, 93.57658, 2.97728, 1163.39021, 41.82142, 41.02943, 2.66624, 2.62729, 3.33655, 1.43999, 3.65485, 1.57506, 14.22109, 15.14891, 2.8035, 40.92185, 2.74827, 1.42481, 3.91576, 14.97229, 1149.17, 641.8571, 2.98362
16, 24/03/2024 10:35:45, 60.062, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 88.46734, 85.87228, 2.97767, 2.25422, 1173.81818, 2.29479, 93.41477, 2.99395, 1163.79292, 41.84317, 41.13111, 2.63812, 2.56577, 3.31815, 1.44595, 3.54684, 1.57342, 14.26343, 15.24643, 3.59561, 42.55759, 1.65178, 1.64203, 2.71226, 15.6563, 1176.97, 661.4732, 1.71275
17, 24/03/2024 10:36:45, 60.059, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 83.51697, 85.42431, 3.01149, 2.28859, 1172.93246, 2.30803, 93.11496, 2.99802, 1163.74619, 41.80196, 41.05248, 2.65249, 2.61862, 3.32709, 1.44153, 3.53866, 1.54622, 14.29639, 15.31303, 3.13406, 40.37275, 2.821, 1.28876, 3.63559, 15.43324, 1162.15, 680.8424, 3.14873
18, 24/03/2024 10:37:45, 60.057, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 99.043, 86.37184, 2.97365, 2.36685, 1175.5286, 2.3267, 93.27212, 2.98011, 1163.80317, 41.81439, 41.11093, 2.65047, 2.6521, 3.34807, 1.43897, 3.57912, 1.51219, 14.26589, 15.13976, 2.43134, 42.24721, 3.02259, 1.34979, 4.07987, 13.20136, 1165.8, 700.2724, 2.57967
19, 24/03/2024 10:38:45, 60.063, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 88.48808, 85.6189, 2.98343, 2.35818, 1177.30638, 2.32834, 93.13018, 2.97487, 1165.49559, 41.81615, 41.06456, 2.62875, 2.615, 3.35925, 1.44277, 3.59221, 1.5233, 14.28537, 15.26181, 2.81216, 41.8756, 2.38004, 1.57362, 3.74527, 14.95756, 1223.61, 720.6659, 1.87907
20, 24/03/2024 10:39:45, 60.058, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 88.60115, 85.69355, 2.85979, 2.50122, 1170.81458, 2.36069, 93.00652, 2.94791, 1165.67839, 41.81814, 41.01353, 2.60609, 2.60966, 3.40471, 1.44226, 3.78385, 1.5128, 14.28842, 15.1473, 2.20449, 41.88133, 3.59086, 1.42272, 5.10881, 14.39869, 1172.42, 740.2063, 1.75537
21, 24/03/2024 10:40:45, 60.061, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 89.55814, 86.60765, 2.866, 2.47505, 1168.14075, 2.357, 92.92154, 2.95472, 1164.71329, 41.7623, 40.99655, 2.65896, 2.72665, 3.39477, 1.44029, 3.72439, 1.50477, 14.28629, 14.98681, 3.24884, 39.58294, 2.20532, 1.3637, 3.0074, 14.20103, 1126.67, 758.9841, 4.7157
22, 24/03/2024 10:41:45, 60.059, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 91.48035, 87.52576, 2.87306, 2.46481, 1166.97218, 2.35655, 92.88676, 2.95995, 1163.46816, 41.76047, 41.14558, 2.65816, 2.68268, 3.39037, 1.4387, 3.68644, 1.49563, 14.29381, 14.8884, 3.18591, 41.68501, 2.33717, 1.37344, 3.20998, 14.60238, 1112.5, 777.5258, 2.62536
23, 24/03/2024 10:42:45, 60.061, 60.06, Pila 2224 sur[Pila 2224 sur], AC mantencion 03-03-2016 ., 103.57375, 88.43815, 2.8961, 2.46707, 1158.93565, 2.3573, 93.10098, 2.96323, 1161.19115, 41.74524, 41.12349, 2.69015, 2.80551, 3.37831, 1.43312, 3.62162, 1.46799, 14.2574, 14.74, 3.13211, 41.07363, 2.39648, 1.19215, 2.85696, 12.68225, 1061.08, 795.2105, 4.06842
