Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"," ""Tons""  [CurrentProduct.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"
1, 19/04/2024 16:27:18,60.06,0, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,98.64507,98.34533,2.62589,2.28985,1157.65679,2.28897,94.70152,2.67968,1153.0355,41.57284,42.06303,2.91218,2.75296,3.58504,1.56622,3.55615,1.55301,13.80372,13.41608,3.09602,42.023,1.68962,1.64101,2.77269,13.66492,1272.32,536.9015,3.14494
2, 19/04/2024 16:28:18,60.058,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,95.23932,98.2619,2.61239,2.30877,1159.23041,2.28933,94.72043,2.67999,1153.95619,41.58815,42.05536,2.89464,2.7442,3.58544,1.56615,3.5832,1.55199,13.80621,13.4151,2.68858,42.00685,2.29947,1.56396,3.59628,13.87373,1179.11,556.5533,2.41094
3, 19/04/2024 16:29:18,60.061,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,102.09683,97.9376,2.66524,2.25223,1157.57165,2.27658,94.94549,2.69859,1151.68582,41.63343,42.05691,2.88511,2.7501,3.5533,1.5608,3.50702,1.55713,13.80086,13.49719,3.43414,43.00762,1.84098,1.39762,2.57299,13.63563,1081.59,574.5798,2.59418
4, 19/04/2024 16:30:18,60.06,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,111.26462,98.23751,2.67328,2.2597,1150.81042,2.28695,95.4014,2.6969,1149.30256,41.72904,42.28046,2.82487,2.54277,3.5511,1.55277,3.509,1.55287,13.7646,13.5318,2.63905,44.78059,2.68566,1.29604,3.48073,12.60616,1072.71,592.4584,0.90085
5, 19/04/2024 16:31:18,60.059,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,97.76436,97.83007,2.69638,2.259,1159.58205,2.28502,95.47943,2.70585,1151.99965,41.73095,42.19304,2.83804,2.60175,3.53714,1.54797,3.48947,1.5447,13.75955,13.57403,2.99327,41.78175,2.22416,1.41062,3.13745,13.61361,1229.95,612.9575,3.21457
6, 19/04/2024 16:32:18,60.061,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,101.84722,98.05479,2.7051,2.27839,1164.97827,2.29726,95.66849,2.70724,1153.42628,41.71633,42.16767,2.87087,2.63959,3.5328,1.53783,3.47818,1.5266,13.72743,13.53845,2.75359,41.26563,2.76405,1.2303,3.40062,12.7517,1197.25,632.9116,3.86522
7, 19/04/2024 16:33:18,60.058,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,102.72428,97.72764,2.74176,2.26631,1166.30505,2.29042,95.87484,2.72731,1154.02588,41.75438,42.18274,2.87083,2.64802,3.50247,1.52918,3.44451,1.51987,13.72287,13.61112,3.58209,42.95452,2.02303,1.25354,2.53596,13.57433,1173.43,652.4688,2.86871
8, 19/04/2024 16:34:18,60.061,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,105.20609,98.99326,2.79428,2.24552,1171.5198,2.30246,96.12679,2.72732,1154.90249,41.76109,42.24788,2.88348,2.72358,3.49916,1.51975,3.34,1.4874,13.68818,13.48911,2.72778,41.9826,2.80554,1.20828,3.38987,12.54274,1183.89,672.2002,3.30121
9, 19/04/2024 16:35:18,60.062,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,127.41032,100.75117,2.80931,2.20968,1172.58457,2.29727,96.84435,2.7285,1155.23814,41.8168,42.43915,2.88606,2.66897,3.47427,1.51235,3.26532,1.47773,13.60597,13.32469,2.77925,43.65646,2.08773,1.26242,2.63559,10.83353,1166.84,691.6475,2.97049
10, 19/04/2024 16:36:18,60.057,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,111.82932,101.11979,2.8,2.24178,1173.56749,2.29693,97.19792,2.72855,1153.63952,41.86077,42.44037,2.88118,2.726,3.46507,1.50856,3.2771,1.46183,13.57079,13.26901,2.73073,43.48548,2.28278,1.36709,3.12078,12.25516,1092.94,709.8632,2.69819
11, 19/04/2024 16:37:18,60.064,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,109.36191,101.91631,2.84502,2.17428,1172.36728,2.27719,97.50079,2.74053,1153.68681,41.89747,42.53724,2.88485,2.72136,3.43534,1.50859,3.18394,1.46436,13.54898,13.22448,3.29284,43.18833,1.56818,1.50851,2.36562,12.75687,1155.43,729.1203,3.01477
12, 19/04/2024 16:38:18,60.058,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,99.7103,101.79112,2.86788,2.17704,1168.51995,2.28616,97.55644,2.73864,1152.94463,41.92755,42.61717,2.85881,2.64914,3.44188,1.50553,3.17244,1.45723,13.54919,13.27736,2.66727,43.09829,2.66612,1.38644,3.69641,13.55734,1124.06,747.8547,1.84546
13, 19/04/2024 16:39:18,60.058,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,95.5095,102.17388,2.86169,2.21506,1160.83144,2.29467,97.50583,2.73575,1151.26427,41.97923,42.71447,2.79509,2.55198,3.45486,1.5056,3.19041,1.44033,13.5706,13.25171,2.62559,44.15103,2.65511,1.50801,4.00395,14.47214,1081.55,765.8806,0.09011
14, 19/04/2024 16:40:18,60.062,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,91.58119,102.18438,2.87978,2.23114,1154.27647,2.29886,97.36596,2.73884,1149.25828,41.96543,42.73662,2.79996,2.53958,3.45708,1.50382,3.18077,1.42563,13.5871,13.26539,2.87221,41.36599,2.49064,1.42662,3.55319,14.30307,1062.5,783.589,3.01121
15, 19/04/2024 16:41:19,60.057,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,95.93007,102.58979,2.90817,2.24721,1148.80541,2.29247,97.33254,2.74507,1148.37152,41.95466,42.66668,2.81322,2.65394,3.44766,1.50391,3.14224,1.39828,13.59239,13.2046,3.03077,41.50025,2.02394,1.50736,3.0508,13.81472,1110.84,802.1029,3.37172
16, 19/04/2024 16:42:19,60.063,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,88.72584,101.95324,2.88624,2.33308,1134.1278,2.30301,97.13674,2.74604,1146.51069,41.92144,42.57529,2.83299,2.68387,3.45539,1.50038,3.21131,1.37642,13.60876,13.24129,2.78851,40.41362,2.84026,1.34024,3.80664,14.3521,1062.2,819.8062,3.73022
17, 19/04/2024 16:43:19,60.06,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,88.07544,101.5417,2.92329,2.31072,1121.75256,2.29592,96.94522,2.75528,1143.18982,41.91188,42.54752,2.82896,2.69929,3.44809,1.50183,3.17705,1.37492,13.63843,13.30675,3.25201,41.42908,1.95497,1.57509,3.07927,15.13601,975.788,836.0693,2.62556
18, 19/04/2024 16:44:19,60.059,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,86.59917,100.3849,2.87432,2.36875,1124.62968,2.30457,96.69548,2.75299,1142.81547,41.91362,42.48207,2.80307,2.63603,3.46346,1.50286,3.28053,1.38492,13.67223,13.40998,2.66272,41.97944,2.68471,1.54925,4.15929,15.20021,1126.14,854.8382,1.62839
19, 19/04/2024 16:45:19,60.061,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,94.19054,99.30838,2.84524,2.39745,1126.14222,2.32011,96.64125,2.74245,1141.8577,41.93697,42.37229,2.76669,2.64453,3.48587,1.50246,3.34889,1.39685,13.6802,13.50276,2.32922,43.0347,3.07019,1.48255,4.55171,14.05511,1097.08,873.1228,1.03306
20, 19/04/2024 16:46:19,60.059,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,74.679,97.55427,2.79362,2.47631,1114.95876,2.34099,96.12399,2.73257,1140.44149,41.89415,42.25281,2.76086,2.59113,3.52127,1.50418,3.48633,1.40787,13.73237,13.67254,2.37037,39.66356,3.34255,1.58943,5.31274,16.36068,1071.18,890.9758,2.46121
21, 19/04/2024 16:47:19,60.059,60.06, Pila 3024 sur[Pila 3024 sur], AC mantencion 03-03-2016 .,99.28164,97.38055,2.79599,2.43836,1113.0536,2.3381,96.18945,2.7337,1141.11742,41.88388,42.26507,2.77885,2.56942,3.51548,1.50356,3.47604,1.42557,13.72055,13.70486,2.7881,41.41654,2.20506,1.47549,3.25353,13.18499,1171.95,910.5083,3.59206
