Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis]
1, 09/05/2023 18:04:03, 60.059, 0, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 79.64035, 88.54324, 2.85269, 2.26721, 1144.69748, 2.30377, 99.58938, 2.83312, 1116.89056, 42.52302, 41.38156, 2.44379, 2.54891, 3.32587, 1.44366, 3.60136, 1.58845, 13.51266, 14.80496, 3.14088, 40.07294, 3.06646, 2.42058, 1.49806, 3.62617, 16.09456
2, 09/05/2023 18:05:03, 60.062, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 77.64051, 87.88249, 2.85474, 2.27955, 1140.62088, 2.31536, 98.5473, 2.83491, 1119.22865, 42.43077, 41.35743, 2.44237, 2.49266, 3.35674, 1.44977, 3.62978, 1.59233, 13.62605, 14.90778, 2.87131, 40.15911, 2.40607, 2.56993, 1.59725, 4.10481, 16.37234
3, 09/05/2023 18:06:03, 60.06, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 83.36112, 87.70365, 2.85729, 2.28698, 1134.35499, 2.30957, 97.90108, 2.84224, 1118.90349, 42.43199, 41.3899, 2.38376, 2.45236, 3.36883, 1.45864, 3.64062, 1.59189, 13.72084, 14.9508, 3.01641, 42.44826, 0.82313, 2.17768, 1.69408, 3.68916, 16.23806
4, 09/05/2023 18:07:03, 60.058, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 90.05336, 88.50566, 2.88018, 2.24412, 1134.40204, 2.29284, 97.59711, 2.85214, 1118.77573, 42.44668, 41.52081, 2.35093, 2.43361, 3.36298, 1.46673, 3.57358, 1.59242, 13.77502, 14.87902, 3.11835, 42.8428, 1.45648, 1.89885, 1.68696, 3.20328, 15.24947
5, 09/05/2023 18:08:03, 60.062, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 90.56835, 88.25729, 2.84267, 2.27271, 1137.41304, 2.28822, 97.32967, 2.84825, 1121.77883, 42.38418, 41.42627, 2.38244, 2.47569, 3.36935, 1.47248, 3.63082, 1.59758, 13.79074, 14.8626, 2.75296, 40.74805, 3.20641, 2.17901, 1.62272, 3.53593, 14.20154
6, 09/05/2023 18:09:03, 60.058, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 86.01663, 87.15355, 2.84095, 2.31143, 1132.54201, 2.29484, 96.92902, 2.84562, 1121.06201, 42.32655, 41.24836, 2.4131, 2.54688, 3.38429, 1.47474, 3.68104, 1.59254, 13.82697, 14.982, 2.77553, 40.62391, 3.31881, 2.4814, 1.5417, 3.82557, 14.89703
7, 09/05/2023 18:10:03, 60.062, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 89.13566, 87.36142, 2.82125, 2.32838, 1137.29606, 2.29718, 96.64389, 2.83323, 1124.97445, 42.2731, 41.23247, 2.42541, 2.55493, 3.40414, 1.48188, 3.70138, 1.58968, 13.84321, 14.92738, 2.5382, 40.78971, 2.7647, 2.35402, 1.67841, 3.95102, 14.28864
8, 09/05/2023 18:11:03, 60.06, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 82.66212, 85.70176, 2.85638, 2.28805, 1134.22646, 2.28561, 96.15778, 2.83736, 1125.05009, 42.21998, 40.97949, 2.43709, 2.66144, 3.40763, 1.4909, 3.69026, 1.61284, 13.89889, 15.14769, 2.95604, 40.56063, 2.80045, 1.98428, 1.77191, 3.51598, 15.63121
9, 09/05/2023 18:12:03, 60.059, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 88.28555, 85.36012, 2.87342, 2.27183, 1131.29933, 2.27641, 95.90272, 2.8341, 1124.97964, 42.22404, 41.11655, 2.39645, 2.47007, 3.41647, 1.50081, 3.69017, 1.62432, 13.93608, 15.27076, 2.74003, 42.33773, 1.06994, 2.03106, 1.82332, 3.70327, 15.14301
10, 09/05/2023 18:13:03, 60.061, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 91.48079, 85.67815, 2.90852, 2.23122, 1129.61684, 2.26115, 95.76664, 2.84388, 1125.4428, 42.20115, 41.20551, 2.41586, 2.44202, 3.40232, 1.50469, 3.62554, 1.62492, 13.95495, 15.27109, 3.18467, 41.45922, 3.04508, 1.80564, 1.63029, 2.94373, 14.56673
11, 09/05/2023 18:14:04, 60.058, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 88.08548, 85.45664, 2.92467, 2.21405, 1126.88107, 2.25106, 95.53403, 2.85199, 1124.6974, 42.20896, 41.25783, 2.38729, 2.3604, 3.39815, 1.50958, 3.61336, 1.63201, 13.99681, 15.34096, 3.13481, 42.47816, 1.38569, 1.93461, 1.68078, 3.25166, 15.46226
12, 09/05/2023 18:15:04, 60.062, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 82.2477, 85.3548, 2.89991, 2.23914, 1125.72706, 2.26684, 95.12974, 2.84355, 1124.18753, 42.18676, 41.22759, 2.36806, 2.34578, 3.42682, 1.51172, 3.65468, 1.63219, 14.04296, 15.33142, 2.59516, 41.36013, 1.66962, 2.81065, 1.58853, 4.4648, 15.70938
13, 09/05/2023 18:16:04, 60.059, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 85.62115, 85.63804, 2.89805, 2.23197, 1127.16098, 2.2756, 94.86014, 2.84145, 1123.65583, 42.14551, 41.23079, 2.38973, 2.40766, 3.43933, 1.51139, 3.64149, 1.63151, 14.06725, 15.28142, 2.77124, 40.63219, 3.18442, 2.59935, 1.49957, 3.89791, 14.95769
14, 09/05/2023 18:17:04, 60.06, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 91.52844, 85.82952, 2.93029, 2.2197, 1134.73978, 2.2678, 94.76208, 2.856, 1125.78199, 42.15587, 41.30251, 2.37949, 2.36263, 3.42473, 1.51015, 3.59814, 1.62101, 14.09401, 15.29361, 3.42162, 42.51274, 2.02643, 1.99096, 1.46734, 2.92141, 15.01662
15, 09/05/2023 18:18:04, 60.06, 60.06, Pila 3423 norte[Pila 3423 norte], AC mantencion 03-03-2016 ., 83.9354, 85.93215, 2.91341, 2.23505, 1140.91399, 2.27241, 94.45502, 2.85812, 1126.76114, 42.10999, 41.29264, 2.40121, 2.37331, 3.43191, 1.51025, 3.61891, 1.61917, 14.12527, 15.26065, 2.93241, 40.40438, 3.20613, 2.44265, 1.5138, 3.69768, 15.28223
