Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 01/06/2023 14:04:27, 60.063, 0, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 69.05685, 94.11631, 2.94437, 2.14477, 1202.08636, 1.97426, 95.45218, 2.94353, 1187.4215, 42.11953, 41.94317, 2.5215, 2.51457, 3.16868, 1.60499, 3.28382, 1.53108, 14.05144, 14.17684, 2.71675, 39.21917, 2.24873, 2.55018, 1.85203, 4.723, 17.86273, 1114.34
2, 01/06/2023 14:05:27, 60.057, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 74.62782, 91.43805, 2.93961, 2.17044, 1190.62128, 1.98833, 94.98338, 2.94065, 1186.88336, 42.03855, 41.54447, 2.56364, 2.68701, 3.18826, 1.60349, 3.36486, 1.55031, 14.09087, 14.44869, 2.81983, 37.97784, 4.6732, 2.72835, 1.52791, 4.16867, 16.06339, 1160.24
3, 01/06/2023 14:06:27, 60.062, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 87.11718, 90.33298, 2.92481, 2.1502, 1180.8399, 1.99207, 94.82207, 2.9394, 1186.73201, 42.00848, 41.40137, 2.57329, 2.69384, 3.19454, 1.60363, 3.39988, 1.58119, 14.10375, 14.56869, 2.88087, 40.49644, 3.05734, 2.17898, 1.61047, 3.50919, 14.74906, 1179.21
4, 01/06/2023 14:07:27, 60.059, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 81.20093, 89.00766, 2.90197, 2.16535, 1170.05236, 2.00221, 94.55373, 2.93555, 1185.07248, 41.9761, 41.1876, 2.5794, 2.77224, 3.21011, 1.60328, 3.4641, 1.59979, 14.12995, 14.69526, 2.75381, 40.16532, 2.91819, 2.57261, 1.58372, 4.07429, 15.58108, 1094.42
5, 01/06/2023 14:08:27, 60.059, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 89.38084, 88.71464, 2.9156, 2.1091, 1166.90917, 1.99794, 94.44738, 2.94021, 1184.74664, 42.01314, 41.29155, 2.53486, 2.64573, 3.20981, 1.60656, 3.44197, 1.63196, 14.16117, 14.79355, 3.17863, 43.96137, 0.18344, 1.79495, 1.77923, 3.19363, 15.80691, 1167.76
6, 01/06/2023 14:09:27, 60.062, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 89.11058, 87.74724, 2.92361, 2.15514, 1159.72284, 2.00416, 94.34996, 2.94247, 1183.36767, 42.00561, 41.17944, 2.53557, 2.65194, 3.21355, 1.60344, 3.48501, 1.61707, 14.17387, 14.9165, 3.06892, 41.57978, 2.57584, 2.39854, 1.42764, 3.42426, 14.8901, 1106.01
7, 01/06/2023 14:10:27, 60.06, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 88.25598, 87.1509, 2.93459, 2.17457, 1153.37353, 2.00588, 94.23909, 2.9439, 1182.65603, 41.97341, 41.00924, 2.55995, 2.78516, 3.21436, 1.60247, 3.49222, 1.60594, 14.18026, 14.96099, 3.02306, 40.19569, 3.90572, 2.10468, 1.54843, 3.25895, 14.533, 1143.35
8, 01/06/2023 14:11:28, 60.058, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 88.11873, 86.64487, 2.94166, 2.22263, 1151.98862, 2.00889, 94.1168, 2.94974, 1183.14377, 41.98732, 41.04387, 2.53876, 2.71323, 3.21546, 1.60062, 3.53117, 1.58873, 14.20617, 15.06099, 3.26399, 42.72921, 1.40708, 2.18019, 1.50186, 3.27435, 15.58949, 1209.08
9, 01/06/2023 14:12:28, 60.062, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 81.66001, 86.31699, 2.92563, 2.28123, 1149.25218, 2.02155, 93.89205, 2.94959, 1181.69256, 41.96214, 41.04051, 2.54614, 2.69479, 3.22783, 1.59671, 3.58903, 1.57329, 14.23043, 15.10306, 2.94145, 40.43741, 2.99219, 2.92124, 1.36069, 3.97491, 15.69442, 1094.87
10, 01/06/2023 14:13:28, 60.058, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 85.77864, 85.45965, 2.96355, 2.30087, 1141.68371, 2.01992, 93.74882, 2.9605, 1180.22667, 41.97239, 41.02006, 2.52561, 2.63609, 3.2221, 1.59516, 3.59092, 1.56068, 14.26149, 15.267, 3.70598, 42.59948, 1.25518, 1.91233, 1.49914, 2.86685, 16.18028, 1090.72
11, 01/06/2023 14:14:28, 60.067, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 74.30747, 84.72115, 3.02859, 2.30312, 1135.76004, 2.02588, 93.41463, 2.96814, 1177.9894, 41.92697, 40.97578, 2.5404, 2.62079, 3.22573, 1.59226, 3.54995, 1.54137, 14.30047, 15.41951, 3.47352, 38.87867, 3.52811, 2.4804, 1.39797, 3.46752, 16.90036, 1031.12
12, 01/06/2023 14:15:28, 60.054, 60.07, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 68.76337, 83.60795, 3.05741, 2.31193, 1129.83528, 2.03533, 92.9517, 2.97122, 1176.04645, 41.90428, 40.94449, 2.52128, 2.55253, 3.24183, 1.59278, 3.56815, 1.54337, 14.36469, 15.628, 3.14129, 40.28816, 1.21291, 2.66683, 1.62528, 4.33434, 18.72093, 1048.73
13, 01/06/2023 14:16:28, 60.058, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 87.69052, 82.82183, 3.0353, 2.33319, 1118.35863, 2.03668, 92.87439, 2.97243, 1173.7264, 41.88786, 40.79157, 2.52696, 2.59832, 3.24276, 1.59218, 3.62148, 1.55216, 14.37152, 15.70355, 3.05555, 40.75217, 2.9194, 2.13266, 1.55073, 3.30719, 14.84366, 1014.11
14, 01/06/2023 14:17:28, 60.061, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 85.75601, 82.30089, 3.00872, 2.32709, 1116.05736, 2.0371, 92.75777, 2.96783, 1173.03131, 41.87403, 40.76166, 2.52528, 2.53052, 3.25046, 1.59563, 3.66765, 1.57607, 14.3824, 15.7769, 2.71315, 40.98462, 2.41807, 2.06046, 1.81505, 3.73983, 15.0712, 1129.47
15, 01/06/2023 14:18:28, 60.059, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 72.60804, 81.2745, 3.00328, 2.32706, 1115.28924, 2.04383, 92.40431, 2.96272, 1172.04826, 41.83204, 40.65204, 2.53366, 2.55739, 3.26805, 1.59899, 3.70996, 1.59427, 14.41965, 15.93006, 2.69875, 39.00332, 3.09034, 2.43655, 1.82134, 4.43779, 16.89185, 1108.26
16, 01/06/2023 14:19:28, 60.062, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 79.94962, 82.09259, 3.0073, 2.29257, 1117.10513, 2.04483, 92.19788, 2.95882, 1171.57012, 41.801, 40.68294, 2.54157, 2.61113, 3.27729, 1.60272, 3.65551, 1.5945, 14.43907, 15.78838, 2.74286, 39.76349, 3.05645, 2.1018, 1.84534, 3.87854, 15.69983, 1140.97
17, 01/06/2023 14:20:28, 60.058, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 80.35834, 82.50466, 3.02711, 2.24781, 1116.78449, 2.04533, 91.9981, 2.96091, 1171.32767, 41.78104, 40.85768, 2.54487, 2.47766, 3.28103, 1.60415, 3.61055, 1.60625, 14.46457, 15.79184, 3.08724, 40.48534, 2.75803, 2.0758, 1.69705, 3.52273, 16.11468, 1155.77
18, 01/06/2023 14:21:28, 60.059, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 72.09042, 81.42393, 3.05231, 2.23568, 1115.36781, 2.04497, 91.64638, 2.96546, 1171.15375, 41.73777, 40.74583, 2.55526, 2.48923, 3.28552, 1.60664, 3.61573, 1.61728, 14.50749, 15.97278, 3.2396, 38.87025, 3.24043, 2.02327, 1.77008, 3.58136, 17.3365, 1159.86
19, 01/06/2023 14:22:28, 60.062, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 75.62108, 81.02014, 3.08091, 2.19946, 1119.30428, 2.04482, 91.3752, 2.96854, 1170.87959, 41.70725, 40.70891, 2.56218, 2.49824, 3.28974, 1.60881, 3.58277, 1.62893, 14.54155, 16.05676, 3.15821, 39.66232, 3.02476, 2.03572, 1.75432, 3.5713, 16.8194, 1152.69
20, 01/06/2023 14:23:28, 60.059, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 70.71612, 79.67909, 3.06861, 2.20088, 1119.28178, 2.04142, 91.01477, 2.96916, 1170.82878, 41.66684, 40.35711, 2.56721, 2.68837, 3.29721, 1.61515, 3.62524, 1.64717, 14.58562, 16.17897, 3.00455, 38.90575, 2.9075, 1.85992, 2.0449, 3.80334, 17.57131, 1167.45
21, 01/06/2023 14:24:28, 60.061, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 86.89388, 79.54954, 3.04256, 2.19677, 1121.54805, 2.04524, 90.95595, 2.96488, 1170.38608, 41.64466, 40.25793, 2.57941, 2.74637, 3.30379, 1.61536, 3.64788, 1.66056, 14.58467, 16.15125, 2.69312, 40.0986, 3.4285, 2.30827, 1.62944, 3.76119, 14.5176, 1139.78
22, 01/06/2023 14:25:28, 60.06, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 82.0941, 79.17587, 3.04428, 2.16715, 1120.52885, 2.04014, 90.82438, 2.96612, 1169.80286, 41.6284, 40.2755, 2.58128, 2.66382, 3.30345, 1.61922, 3.64983, 1.68416, 14.60121, 16.23818, 3.05019, 40.46407, 2.71467, 1.73017, 1.89513, 3.2789, 15.78176, 1128.49
23, 01/06/2023 14:26:28, 60.06, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 77.58613, 78.4432, 3.01987, 2.18727, 1117.00557, 2.0463, 90.61849, 2.96512, 1169.69203, 41.60444, 40.06869, 2.58538, 2.77054, 3.31319, 1.61911, 3.7018, 1.69243, 14.62488, 16.28988, 2.9033, 39.89046, 2.87597, 2.48533, 1.61094, 4.00371, 16.30105, 1161.96
24, 01/06/2023 14:27:28, 60.06, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 89.3391, 78.9429, 3.03951, 2.12975, 1121.58842, 2.04423, 90.60026, 2.96897, 1169.58983, 41.60962, 40.17856, 2.58044, 2.71818, 3.30938, 1.61889, 3.63752, 1.70795, 14.63188, 16.2476, 3.25792, 41.97648, 2.23097, 1.89677, 1.60289, 3.04032, 15.12718, 1162.36
25, 01/06/2023 14:28:29, 60.061, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 81.17761, 78.65326, 2.99549, 2.13783, 1122.63659, 2.04457, 90.46751, 2.96804, 1168.77096, 41.59893, 40.0596, 2.57589, 2.78123, 3.31449, 1.62112, 3.69213, 1.72705, 14.64906, 16.23307, 2.90419, 40.77012, 2.22659, 2.06778, 1.79136, 3.70415, 15.96002, 1107.09
26, 01/06/2023 14:29:29, 60.059, 60.06, Pila 4123 sur[Pila 4123 sur], AC mantencion 03-03-2016 ., 96.08091, 79.96281, 2.97358, 2.10054, 1128.65529, 2.04151, 90.53877, 2.9693, 1168.24886, 41.60838, 40.28525, 2.57363, 2.71029, 3.30981, 1.62125, 3.65623, 1.74061, 14.6418, 16.04794, 3.07033, 42.31113, 2.40534, 1.8152, 1.63136, 2.96124, 14.10083, 1129.18
