Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis], "MgO"  [CurrentAnalysis.Dry basis]
1, 12/06/2024 08:18:23, 60.062, 0, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 178.24471, 94.02896, 3.06465, 2.56815, 971.86977, 3.85787, 178.24471, 3.20781, 954.059, 47.76506, 41.7133, 1.51578, 2.9339, 2.11694, 0.54873, 3.32166, 1.2934, 8.551, 14.14354, 3.20781, 47.76506, 3.85787, 0.54873, 2.11694, 8.551, 954.059, 15.901, 1.51578
2, 12/06/2024 08:19:23, 60.058, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 149.91055, 97.79159, 3.09269, 2.5776, 967.47377, 3.19694, 162.78391, 3.34532, 977.46123, 47.13348, 42.03955, 1.75039, 2.9694, 2.11654, 0.66205, 3.1959, 1.23988, 9.29528, 13.71851, 3.46772, 46.52197, 2.74352, 0.77129, 2.11604, 10.01246, 999.793, 32.5642, 1.97653
3, 12/06/2024 08:20:23, 60.061, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 70.43519, 96.47468, 3.06436, 2.56859, 979.42087, 2.7411, 114.89125, 3.16423, 1060.49113, 44.38929, 41.89539, 2.09268, 2.9766, 2.85997, 1.04336, 3.252, 1.26606, 12.35106, 13.845, 3.01167, 39.25296, 2.42747, 1.71912, 4.17313, 17.74552, 1196.12, 52.4995, 2.69321
4, 12/06/2024 08:21:23, 60.06, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 64.89262, 93.33151, 3.09991, 2.49618, 996.64579, 2.30251, 96.73282, 3.36866, 1102.6404, 43.09805, 41.79163, 2.03589, 2.82736, 2.97202, 1.29077, 3.29311, 1.31926, 14.3599, 14.29794, 3.78831, 39.42384, 1.66188, 1.96952, 3.27311, 19.8607, 1212.17, 72.7024, 1.87391
5, 12/06/2024 08:22:23, 60.06, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 75.91167, 92.15226, 3.08396, 2.46008, 1009.19878, 2.19533, 91.80137, 3.34651, 1114.91451, 42.48645, 41.70126, 2.24329, 2.81538, 3.062, 1.39478, 3.32999, 1.35361, 14.91467, 14.44404, 3.27706, 40.13728, 1.90016, 1.79212, 3.40532, 17.03232, 1161.03, 92.0529, 3.03579
6, 12/06/2024 08:23:23, 60.06, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 74.63149, 90.25485, 3.03885, 2.55185, 1019.58002, 2.24249, 88.56829, 3.24273, 1118.9888, 42.11413, 41.52827, 2.21337, 2.79633, 3.2572, 1.45249, 3.46534, 1.35797, 15.27225, 14.6573, 2.85423, 40.20463, 2.43209, 1.74066, 4.23343, 17.05143, 1138.75, 111.032, 2.06108
7, 12/06/2024 08:24:23, 60.059, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 94.65906, 90.55482, 3.02113, 2.56632, 1035.59361, 2.2408, 89.45622, 3.15011, 1133.67499, 42.11358, 41.58217, 2.22655, 2.76416, 3.3091, 1.47675, 3.48173, 1.3567, 15.07595, 14.61751, 2.69053, 42.1105, 2.23244, 1.60974, 3.59365, 13.99988, 1214.25, 131.2695, 2.29878
8, 12/06/2024 08:25:23, 60.06, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 78.04238, 89.73042, 3.09785, 2.46416, 1049.3984, 2.15981, 87.82231, 3.18476, 1140.16621, 41.96698, 41.58366, 2.26848, 2.76143, 3.28947, 1.52304, 3.39811, 1.37901, 15.32668, 14.79884, 3.4067, 40.98766, 1.72388, 1.83209, 3.1583, 17.00075, 1183.37, 150.9923, 2.54843
9, 12/06/2024 08:26:23, 60.06, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 75.96027, 89.90143, 3.0989, 2.46083, 1058.00545, 2.22039, 86.37666, 3.13398, 1140.4141, 41.90879, 41.80349, 2.09183, 2.53175, 3.41682, 1.53883, 3.40727, 1.3846, 15.53092, 14.84953, 2.80629, 41.38322, 2.67515, 1.66684, 4.45906, 17.19105, 1142.38, 170.032, 0.63839
10, 12/06/2024 08:27:23, 60.061, 60.06, Pila 4624 Sur[Pila 4624 Sur], AC mantencion 03-03-2016 ., 91.1262, 90.5414, 3.14632, 2.34634, 1066.79826, 2.14752, 86.83156, 3.16441, 1136.05231, 42.0433, 42.10448, 1.99082, 2.32158, 3.34645, 1.55829, 3.31659, 1.41351, 15.5206, 14.88238, 3.4787, 43.28426, 1.55113, 1.73804, 2.69592, 15.42441, 1095.43, 188.2891, 1.05713
