Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"," ""Tons""  [CurrentProduct.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"
1, 15/06/2024 15:33:33,60.06,0, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,96.74966,100.37695,3.019,2.37728,1119.39231,2.33511,99.78682,2.99976,1107.04103,42.39286,42.65462,2.68868,2.4802,3.15752,1.3522,3.15652,1.32778,13.52808,13.5381,2.5486,41.19355,3.16699,1.24776,3.95166,13.25124,1147.35,312.6587,3.62204
2, 15/06/2024 15:34:34,60.065,60.06, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,110.16779,100.43153,3.03734,2.37149,1138.29545,2.32634,100.40331,2.99438,1117.72139,42.4338,42.57019,2.68554,2.56997,3.14279,1.35096,3.12942,1.3196,13.45598,13.51315,2.91147,43.02546,2.19689,1.33275,2.9279,12.40474,1274.88,333.9067,2.6396
3, 15/06/2024 15:35:34,60.054,60.07, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,86.44861,99.64251,3.06742,2.33595,1151.19752,2.31365,99.47336,3.0119,1123.92352,42.48938,42.6944,2.56956,2.40789,3.15484,1.36358,3.12213,1.33656,13.60904,13.67668,3.27782,43.40181,2.13233,1.57313,3.35443,16.15163,1225.33,354.3288,0.63905
4, 15/06/2024 15:36:34,60.06,60.05, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,98.13537,99.41841,3.04443,2.34336,1165.56315,2.31457,99.39348,2.9941,1133.39796,42.58767,42.80493,2.4781,2.30674,3.18182,1.37469,3.16131,1.34905,13.64266,13.73147,2.73651,44.21831,2.32786,1.55935,3.62995,14.20056,1289.59,375.822,0.95843
5, 15/06/2024 15:37:34,60.061,60.06, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,98.31457,99.77948,2.99711,2.37538,1164.96657,2.3161,99.33968,2.97713,1135.83579,42.57078,42.80086,2.47894,2.31338,3.19906,1.38123,3.20632,1.34981,13.63609,13.65522,2.68358,42.24782,2.34292,1.50602,3.5285,13.51055,1182.33,395.5275,2.49496
6, 15/06/2024 15:38:34,60.06,60.06, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,85.87557,98.21749,2.994,2.32884,1170.78679,2.29107,98.60154,2.98189,1140.73839,42.52347,42.75157,2.46082,2.22185,3.20471,1.39878,3.23816,1.39046,13.72708,13.85808,3.0659,41.59368,1.90404,1.7406,3.31416,15.4974,1234.95,416.11,2.10726
7, 15/06/2024 15:39:34,60.06,60.06, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,107.62621,98.92581,2.95797,2.33723,1168.51977,2.29741,98.96875,2.97292,1139.84463,42.574,42.70779,2.43665,2.31165,3.20779,1.39626,3.24987,1.39048,13.68745,13.72602,2.7744,43.69456,2.44406,1.34039,3.27599,12.80768,1119.92,434.7754,1.90031
8, 15/06/2024 15:40:34,60.058,60.06, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,84.11499,97.6918,2.9831,2.29359,1170.08749,2.29562,98.27863,2.97526,1138.98403,42.5543,42.59194,2.39979,2.35416,3.22582,1.40521,3.23962,1.41247,13.7785,13.87765,3.02402,42.06231,2.25884,1.61784,3.65445,15.94353,1118.92,453.424,1.51898
9, 15/06/2024 15:41:34,60.062,60.06, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,87.15941,96.48739,3.00526,2.24671,1173.59242,2.27802,97.78636,2.98454,1139.75915,42.52552,42.49538,2.37709,2.33243,3.22362,1.4151,3.23143,1.43829,13.84446,14.03373,3.19792,41.82324,1.91969,1.6513,3.17,15.41815,1157.97,472.7234,1.83322
10, 15/06/2024 15:42:34,60.059,60.06, Pila 4724 Norte[Pila 4724 Norte], AC mantencion 03-03-2016 .,80.2135,95.02397,2.98152,2.24495,1176.10183,2.26174,97.00999,2.99084,1139.79592,42.46415,42.38738,2.3711,2.28326,3.23182,1.42891,3.29532,1.46788,13.93951,14.20158,3.1329,40.89166,1.93335,1.77854,3.43855,16.34464,1140.71,491.7353,2.21836
