Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 26/06/2023 09:36:03, 60.059, 0, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 96.77785, 96.09905, 3.24867, 2.22696, 1139.21704, 2.19859, 94.13085, 3.26224, 1127.35696, 42.11331, 42.34097, 2.70874, 2.65105, 3.03018, 1.37824, 3.00692, 1.35023, 14.3813, 14.15497, 3.55767, 42.21174, 2.93902, 1.71774, 1.46614, 2.51845, 14.17585, 1192.68
2, 26/06/2023 09:37:03, 60.056, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 90.21785, 96.7056, 3.20966, 2.23995, 1146.05169, 2.21419, 93.93215, 3.23547, 1130.51658, 42.09603, 42.4277, 2.68874, 2.58515, 3.06443, 1.384, 3.03213, 1.35366, 14.39276, 14.07688, 2.79837, 41.75158, 2.30145, 2.49218, 1.4951, 3.72605, 14.61074, 1190.65
3, 26/06/2023 09:38:03, 60.064, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 100.14457, 97.7033, 3.19112, 2.25922, 1154.30363, 2.21768, 94.22175, 3.2353, 1134.54303, 42.14484, 42.47262, 2.67032, 2.6306, 3.06015, 1.37989, 3.02769, 1.34015, 14.36483, 13.9383, 3.23181, 43.10365, 2.30843, 2.29069, 1.29914, 2.97593, 13.81621, 1213.67
4, 26/06/2023 09:39:03, 60.059, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 95.59904, 98.23497, 3.1643, 2.23769, 1153.12026, 2.2187, 94.27888, 3.21935, 1132.96391, 42.16193, 42.57251, 2.64055, 2.53981, 3.07357, 1.38531, 3.03272, 1.35529, 14.35471, 13.88496, 2.88655, 42.55334, 1.95569, 2.24008, 1.50988, 3.38225, 14.12137, 1096.88
5, 26/06/2023 09:40:03, 60.061, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 92.43481, 98.03204, 3.15598, 2.18681, 1155.30499, 2.20497, 94.19715, 3.21525, 1136.20898, 42.15692, 42.58108, 2.63017, 2.48409, 3.07367, 1.39398, 3.02586, 1.38368, 14.36461, 13.91642, 3.1292, 42.04155, 2.40228, 1.94164, 1.58392, 3.0754, 14.57995, 1206.57
6, 26/06/2023 09:41:03, 60.059, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 86.76064, 97.29143, 3.13499, 2.22789, 1166.55093, 2.20575, 93.86856, 3.22271, 1138.43393, 42.1297, 42.51028, 2.63938, 2.50634, 3.07635, 1.3947, 3.07924, 1.38213, 14.40891, 13.98638, 3.39212, 41.4995, 2.85219, 2.22355, 1.41136, 3.13823, 15.43274, 1189.62
7, 26/06/2023 09:42:03, 60.059, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 84.63056, 95.32573, 3.15804, 2.22036, 1162.16696, 2.20571, 93.49061, 3.2319, 1138.55602, 42.08478, 42.28786, 2.65548, 2.55652, 3.0776, 1.39528, 3.10269, 1.39738, 14.45589, 14.21141, 3.46157, 40.94545, 3.06206, 2.20491, 1.40992, 3.10874, 15.64166, 1141.61
8, 26/06/2023 09:43:03, 60.061, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 92.39593, 94.62685, 3.17707, 2.19681, 1169.06052, 2.19765, 93.44798, 3.23301, 1141.08321, 42.06228, 42.20812, 2.67433, 2.57666, 3.07301, 1.39832, 3.09303, 1.40796, 14.45585, 14.29995, 3.26068, 41.508, 3.13874, 2.00952, 1.47302, 2.96007, 14.45489, 1203.45
9, 26/06/2023 09:44:03, 60.059, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 80.8915, 93.63172, 3.1191, 2.23486, 1165.22144, 2.20609, 92.96652, 3.21106, 1138.81493, 42.09471, 42.32817, 2.59144, 2.33875, 3.11388, 1.4115, 3.20341, 1.43338, 14.53128, 14.46263, 2.73613, 43.02052, 0.13293, 2.40019, 1.80088, 4.32246, 16.75425, 1073.52
10, 26/06/2023 09:45:03, 60.061, 60.06, Pila 4823 norte[Pila 4823 norte], AC mantencion 03-03-2016 ., 85.27822, 93.21208, 3.10143, 2.22953, 1171.62676, 2.20427, 92.674, 3.19185, 1141.04397, 42.0795, 42.28463, 2.56452, 2.32976, 3.13869, 1.42391, 3.22862, 1.44812, 14.56312, 14.50459, 2.76652, 41.64224, 1.82916, 2.16451, 1.76176, 3.81334, 15.42363, 1200.42
