Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 28/07/2023 07:46:01, 60.059, 0, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 92.49968, 88.95017, 2.90423, 2.33151, 1161.46911, 2.2133, 93.23214, 2.97676, 1152.58435, 41.36458, 40.81357, 3.05139, 3.06217, 3.26844, 1.47673, 3.50834, 1.50475, 14.12523, 14.55918, 3.32444, 42.53418, 1.9625, 2.02864, 1.47213, 2.98642, 14.82221, 1115.7
2, 28/07/2023 07:47:01, 60.062, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 92.31964, 88.39782, 2.89543, 2.33086, 1152.2206, 2.21194, 93.20467, 2.97685, 1151.09222, 41.40007, 40.87688, 3.01459, 2.95491, 3.27152, 1.47903, 3.545, 1.5209, 14.14167, 14.66795, 2.97966, 42.5872, 1.78169, 2.1687, 1.55605, 3.3746, 14.69168, 1101.43
3, 28/07/2023 07:48:01, 60.059, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 98.10163, 89.52098, 2.86434, 2.33641, 1148.38736, 2.22618, 93.34731, 2.96172, 1151.08683, 41.45448, 41.00521, 2.96256, 2.91557, 3.292, 1.47877, 3.54775, 1.51846, 14.12968, 14.51135, 2.52449, 43.25182, 1.24109, 2.69993, 1.47016, 3.96932, 13.73193, 1150.91
4, 28/07/2023 07:49:01, 60.06, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 105.57303, 90.91872, 2.85569, 2.34281, 1148.68127, 2.24006, 93.67572, 2.94989, 1152.11007, 41.48181, 41.23942, 2.95635, 2.81176, 3.30043, 1.47337, 3.52537, 1.50476, 14.0822, 14.36448, 2.57073, 42.37669, 2.7531, 2.75831, 1.29662, 3.57646, 12.52738, 1185.69
5, 28/07/2023 07:50:01, 60.061, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 109.50004, 93.0516, 2.85229, 2.2899, 1148.6741, 2.23705, 94.08185, 2.94645, 1153.21613, 41.53355, 41.4714, 2.92775, 2.74602, 3.29239, 1.47176, 3.44477, 1.50433, 14.03733, 14.11626, 2.82113, 43.28548, 1.95819, 2.1311, 1.41696, 3.01969, 12.51637, 1190.47
6, 28/07/2023 07:51:01, 60.059, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 117.76619, 94.77528, 2.87744, 2.25365, 1144.47671, 2.22847, 94.65362, 2.95072, 1153.1674, 41.63909, 41.84366, 2.87876, 2.5531, 3.27285, 1.46865, 3.37019, 1.49544, 13.99087, 14.00055, 3.13279, 45.34892, 1.15086, 1.90086, 1.35883, 2.58294, 12.34874, 1151.42
7, 28/07/2023 07:52:01, 60.061, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 106.39394, 94.48433, 2.88079, 2.24749, 1139.59106, 2.22731, 94.92482, 2.9471, 1151.75546, 41.66363, 41.81344, 2.87268, 2.57051, 3.26849, 1.46746, 3.37192, 1.5003, 13.95733, 14.03582, 2.80095, 42.60761, 2.63855, 2.181, 1.42156, 3.10043, 12.66589, 1097.14
8, 28/07/2023 07:53:01, 60.059, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 97.00768, 94.4093, 2.89561, 2.29145, 1141.02125, 2.23617, 94.97769, 2.95289, 1151.44338, 41.67769, 41.84607, 2.86859, 2.5587, 3.26592, 1.4605, 3.38104, 1.4755, 13.95659, 14.06264, 3.19196, 42.21233, 2.71283, 2.6501, 1.19546, 3.16808, 13.92823, 1139.52
9, 28/07/2023 07:54:01, 60.061, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 87.70344, 94.03957, 2.93863, 2.32913, 1137.68707, 2.23667, 94.78829, 2.96826, 1150.50774, 41.66474, 41.82072, 2.87787, 2.5977, 3.25655, 1.45598, 3.36395, 1.4443, 13.98802, 14.1297, 3.66735, 41.14612, 3.24887, 2.25964, 1.27527, 2.88166, 15.24492, 1112.95
10, 28/07/2023 07:55:01, 60.059, 60.06, Pila 5723 Sur[Pila 5723 Sur], AC mantencion 03-03-2016 ., 91.99109, 94.66327, 2.96441, 2.31464, 1136.28097, 2.23993, 94.72256, 2.9685, 1149.17717, 41.64476, 41.82131, 2.88753, 2.65748, 3.25842, 1.45469, 3.30998, 1.43002, 13.99089, 14.05133, 2.97848, 40.80704, 3.29282, 2.38241, 1.4007, 3.33705, 14.11129, 1093.46
