Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 19/08/2023 07:20:36, 60.058, 0, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 64.68831, 92.73094, 2.88265, 2.29673, 1177.21316, 1.89699, 64.68831, 3.42785, 1131.62, 38.3304, 40.66376, 3.06598, 3.76447, 3.66213, 1.93049, 3.36058, 1.4632, 19.17066, 13.90528, 3.42785, 38.3304, 1.89699, 1.93049, 3.66213, 19.17066, 1131.62, 18.8603
2, 19/08/2023 07:21:36, 60.061, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 58.26068, 89.48274, 2.86616, 2.34193, 1180.62109, 2.24389, 61.46053, 3.17437, 1134.14058, 36.78111, 40.36436, 3.88658, 3.75673, 4.17942, 1.86258, 3.49419, 1.49201, 19.17953, 14.29128, 2.9537, 35.21015, 2.6214, 1.79368, 4.70196, 19.18619, 1136.65, 37.8045
3, 19/08/2023 07:22:36, 60.06, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 69.02096, 87.6002, 2.92271, 2.31228, 1187.38723, 2.10124, 64.00653, 3.35592, 1164.38884, 37.34809, 40.23537, 3.8464, 3.72732, 3.79939, 1.80817, 3.48385, 1.50667, 18.81852, 14.58586, 3.77312, 38.38004, 1.8166, 1.70833, 3.10334, 18.155, 1220.6, 58.1478
4, 19/08/2023 07:23:36, 60.059, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 95.45532, 87.52982, 2.95491, 2.29577, 1194.73929, 2.13234, 71.14623, 3.32717, 1204.69904, 38.6662, 40.33189, 3.58687, 3.66459, 3.5826, 1.68013, 3.45391, 1.50447, 17.50998, 14.65156, 3.23245, 42.01871, 2.23935, 1.34981, 3.0227, 14.13395, 1311.9, 80.0128
5, 19/08/2023 07:24:37, 60.061, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 88.11214, 87.00125, 2.97977, 2.2831, 1194.45337, 2.11472, 74.25142, 3.2991, 1209.52175, 39.2102, 40.33037, 3.41449, 3.63436, 3.49879, 1.65449, 3.44336, 1.5082, 17.0012, 14.7545, 3.17893, 41.29726, 2.04148, 1.5555, 3.17551, 15.03957, 1228.37, 100.4857
6, 19/08/2023 07:25:37, 60.059, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 100.3332, 87.08598, 2.97501, 2.30284, 1193.6698, 2.10543, 77.85516, 3.26169, 1205.06685, 39.73217, 40.36791, 3.2877, 3.58961, 3.41152, 1.62035, 3.45679, 1.5011, 16.41237, 14.74977, 3.04461, 42.31454, 2.05258, 1.44953, 2.97527, 13.47179, 1182.35, 120.1915
7, 19/08/2023 07:26:37, 60.061, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 110.55068, 88.01635, 3.00988, 2.29677, 1199.22399, 2.11545, 81.88479, 3.26467, 1211.1049, 40.44081, 40.5712, 3.05468, 3.50831, 3.30363, 1.56167, 3.39934, 1.48005, 15.8836, 14.68636, 3.28602, 44.36641, 2.18919, 1.23194, 2.69695, 12.91037, 1246.05, 140.959
8, 19/08/2023 07:27:37, 60.059, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 97.45709, 88.22656, 3.00876, 2.32712, 1196.02786, 2.20416, 83.49009, 3.17401, 1200.0561, 40.5659, 40.56222, 3.06299, 3.53802, 3.37551, 1.53143, 3.40456, 1.46299, 15.5747, 14.64527, 2.54001, 41.50092, 3.0009, 1.30443, 3.91446, 13.25602, 1116.35, 159.5649
9, 19/08/2023 07:28:37, 60.058, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 99.10039, 89.06706, 2.99188, 2.34384, 1197.84616, 2.25839, 85.0181, 3.11566, 1197.68161, 40.70512, 40.71528, 3.06072, 3.45025, 3.4066, 1.50842, 3.4092, 1.45454, 15.31354, 14.5517, 2.65544, 41.81109, 2.76043, 1.32396, 3.6547, 13.22054, 1178.39, 179.2048
10, 19/08/2023 07:29:37, 60.061, 60.06, Pila 6423 Norte[Pila 6423 Norte], AC mantencion 03-03-2016 ., 98.11217, 89.30181, 3.03766, 2.29421, 1202.44136, 2.21592, 86.23081, 3.13321, 1200.25171, 40.77488, 40.75479, 3.12765, 3.44952, 3.32872, 1.50218, 3.33699, 1.45453, 15.13623, 14.55502, 3.31454, 41.36369, 1.83419, 1.4479, 2.65573, 13.60167, 1222.85, 199.5857
