Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"," ""Tons""  [CurrentProduct.Dry basis]"
1, 16/09/2023 12:43:11,60.058,60.06, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,101.46301,97.93454,2.83537,2.34508,1166.49675,2.3688,90.00824,2.88223,1088.36828,40.81134,41.46091,3.27822,3.33303,3.5063,1.4802,3.31221,1.4124,14.37222,13.39602,2.81083,42.22732,2.03342,1.54581,3.14328,13.18021,1128.53,722.8934
2, 16/09/2023 12:44:11,60.061,60.06, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,105.724,98.59596,2.81026,2.33648,1167.3272,2.36057,90.39549,2.876,1090.6824,40.90445,41.55995,3.22096,3.30153,3.50249,1.48375,3.32043,1.42113,14.34042,13.32498,2.64763,44.30865,2.08458,1.61335,3.36315,13.17591,1176.03,742.494
3, 16/09/2023 12:45:11,60.067,60.06, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,107.6287,99.76577,2.80812,2.30495,1170.72567,2.34594,90.77803,2.88178,1092.73486,40.90829,41.62448,3.25381,3.31975,3.47566,1.48157,3.27594,1.42126,14.28564,13.19028,3.15769,41.02633,1.77021,1.39978,2.4779,12.2445,1170.83,762.0079
4, 16/09/2023 12:46:11,60.052,60.07, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,101.85898,100.30284,2.77562,2.3081,1169.02189,2.34122,91.01345,2.8792,1092.8765,40.91013,41.56092,3.26835,3.39832,3.46758,1.4811,3.28839,1.42472,14.24824,13.08181,2.76471,40.98048,2.14479,1.46166,3.13496,12.7083,1098.77,780.3208
5, 16/09/2023 12:47:11,60.061,60.05, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,100.5466,100.62247,2.76493,2.30846,1172.66111,2.34227,91.23755,2.87885,1095.5193,40.94083,41.68231,3.26504,3.31398,3.46247,1.47826,3.2989,1.42905,14.22364,13.07245,2.8646,42.1263,2.38614,1.36806,3.26437,13.27003,1198.74,800.2997
6, 16/09/2023 12:48:11,60.06,60.06, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,98.87364,100.48833,2.75537,2.25786,1173.31541,2.32763,91.41428,2.8779,1097.60261,40.97214,41.74613,3.25136,3.24844,3.45321,1.48357,3.29712,1.46029,14.20756,13.10838,2.83815,42.22493,1.81541,1.69699,3.08073,13.55987,1182.22,820.0033
7, 16/09/2023 12:49:11,60.058,60.06, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,94.37532,99.79464,2.72214,2.28394,1170.57605,2.338,91.47918,2.86598,1099.19044,40.93952,41.50473,3.28377,3.40673,3.46516,1.48211,3.34762,1.46572,14.17877,13.10258,2.40972,39.57342,2.78991,1.42078,3.96384,12.9754,1166.18,839.4396
8, 16/09/2023 12:50:11,60.064,60.06, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,100.54464,100.03242,2.72839,2.21672,1174.65663,2.32433,91.67704,2.86534,1101.55603,40.94977,41.48072,3.29387,3.4459,3.4534,1.48576,3.30179,1.4895,14.15238,13.07249,2.83711,41.35901,1.81415,1.63584,2.96766,13.06065,1200.78,859.4526
9, 16/09/2023 12:51:11,60.057,60.07, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,82.82087,98.8176,2.68975,2.21137,1174.26419,2.31668,91.4654,2.85882,1102.78421,40.95938,41.44104,3.26053,3.38392,3.46591,1.49607,3.37902,1.52802,14.18538,13.19873,2.61363,41.37289,2.05257,1.96585,4.03505,15.68411,1157.5,878.7443
10, 16/09/2023 12:52:11,60.063,60.06, Pila 6823 norte[Pila 6823 norte], AC mantencion 03-03-2016 .,93.82858,97.3818,2.70534,2.18022,1164.17721,2.30482,91.51388,2.85471,1102.53669,40.9943,41.47657,3.22646,3.20479,3.46629,1.50393,3.39986,1.55942,14.18855,13.41652,2.6707,42.68757,1.84828,1.88541,3.48475,14.34206,1090.57,896.9205
