Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 21/10/2024 07:09:59, 62.954, 0, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 85.26325, 102.58513, 2.59579, 2.74456, 1023.80476, 2.61754, 85.26325, 933.963, 2.70337, 40.74382, 40.94038, 2.54005, 4.1395, 4.01915, 1.53547, 3.52137, 1.28304, 15.01617, 12.47125, 2.70337, 40.74382, 2.54005, 2.61754, 1.53547, 4.01915, 15.01617, 933.963, 15.5661
2, 21/10/2024 07:11:01, 60.057, 62.95, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 98.61413, 101.45385, 2.59454, 2.74791, 1020.12036, 2.51336, 92.03103, 1005.23151, 2.86217, 41.06301, 40.88402, 3.27523, 4.14855, 3.5296, 1.40434, 3.55835, 1.29493, 14.12175, 12.592, 3.03304, 41.32314, 3.90135, 2.40775, 1.29207, 3.11099, 13.35466, 1067.58, 33.3592
3, 21/10/2024 07:12:02, 60.063, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 102.81403, 101.14161, 2.58894, 2.79174, 1029.94115, 2.85173, 95.73642, 1058.42401, 2.68187, 41.10712, 40.88725, 3.47123, 4.11923, 3.71743, 1.30357, 3.5907, 1.28619, 13.46569, 12.62596, 2.38684, 41.17753, 3.80683, 3.5723, 1.13064, 4.039, 12.33913, 1150.93, 52.5413
4, 21/10/2024 07:13:02, 60.059, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 111.93813, 101.94797, 2.60748, 2.76754, 1035.67648, 2.66677, 99.86381, 1083.72857, 2.66177, 42.05289, 41.27005, 2.852, 3.81035, 3.60797, 1.35294, 3.56544, 1.28831, 13.2048, 12.65602, 2.60464, 44.61999, 1.1702, 2.2264, 1.48696, 3.31056, 12.49583, 1152.92, 71.7566
5, 21/10/2024 07:14:02, 60.058, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 104.55117, 101.97656, 2.70082, 2.66866, 1044.68542, 2.51261, 100.85051, 1099.51543, 2.77095, 42.2497, 41.59286, 2.82373, 3.5434, 3.41006, 1.35718, 3.45076, 1.29307, 13.20977, 12.81225, 3.2595, 42.96204, 2.71973, 1.95645, 1.37243, 2.68509, 13.2255, 1158.2, 91.06
6, 21/10/2024 07:15:02, 60.062, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 109.98896, 103.24094, 2.6741, 2.67216, 1055.84864, 2.61751, 102.4628, 1117.63602, 2.69403, 42.86282, 42.05733, 2.2767, 3.14727, 3.52915, 1.34828, 3.47801, 1.30157, 13.13992, 12.78107, 2.37888, 45.69093, -0.25587, 3.12176, 1.30682, 4.07957, 12.81359, 1200.13, 111.0622
7, 21/10/2024 07:16:02, 60.059, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 127.06638, 105.39827, 2.69927, 2.62674, 1059.36763, 2.59695, 105.51028, 1116.84141, 2.72539, 43.04109, 42.41802, 2.38639, 2.98124, 3.39947, 1.30903, 3.39259, 1.29156, 12.83251, 12.64382, 2.96684, 44.06973, 3.02873, 2.44617, 1.07829, 2.63768, 11.02468, 1112.08, 129.5968
8, 21/10/2024 07:17:02, 60.06, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 94.37248, 105.3601, 2.7073, 2.63318, 1074.18777, 2.60744, 103.90268, 1130.16131, 2.77675, 42.83358, 42.54367, 2.52024, 2.8583, 3.38296, 1.29742, 3.39718, 1.29015, 12.99625, 12.69001, 3.12015, 41.5072, 3.37574, 2.67923, 1.22327, 3.27741, 14.0428, 1215.38, 149.8531
9, 21/10/2024 07:18:02, 60.06, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 92.08087, 104.87365, 2.759, 2.61846, 1077.84937, 2.6123, 102.43998, 1129.19415, 2.81612, 42.87508, 42.74197, 2.41292, 2.68507, 3.39381, 1.29916, 3.3672, 1.28595, 13.21597, 12.83804, 3.12595, 43.20853, 1.54765, 2.65099, 1.31316, 3.48118, 14.98686, 1121.44, 168.5438
10, 21/10/2024 07:19:02, 60.059, 60.06, Pila 8624 Sur[Pila 8624 Sur], AC mantencion 03-03-2016 ., 91.89913, 103.23644, 2.82616, 2.58246, 1087.81996, 2.55746, 101.17844, 1137.3632, 2.89025, 43.02449, 42.87915, 2.23128, 2.47521, 3.35062, 1.31013, 3.34711, 1.29609, 13.47074, 13.12245, 3.56178, 44.28604, 0.69276, 2.12738, 1.40292, 2.98455, 15.62721, 1205.87, 188.6417
