Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 13/12/2023 08:08:33, 60.055, 0, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 110.27938, 116.56926, 2.87372, 2.8458, 958.06866, 2.02745, 110.38832, 2.63936, 1160.14198, 43.1205, 43.54501, 2.51255, 2.70831, 3.11606, 1.53694, 3.04141, 1.06874, 12.28093, 11.81141, 2.80669, 42.62156, 1.90225, 1.50368, 2.86038, 12.2486, 1129.06, 77.3205
2, 13/12/2023 08:09:33, 60.065, 60.06, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 111.78451, 117.397, 2.88816, 2.69816, 974.47788, 2.02867, 110.65807, 2.64605, 1151.30297, 43.16058, 43.74588, 2.47633, 2.55773, 3.10502, 1.53057, 2.97988, 1.10441, 12.26599, 11.7961, 2.67431, 43.32588, 2.03386, 1.50415, 3.05922, 12.20386, 1114.51, 95.8957
3, 13/12/2023 08:10:33, 60.058, 60.07, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 110.71499, 117.79158, 2.86619, 2.5988, 992.97113, 2.011, 110.66708, 2.66168, 1142.52624, 43.06481, 43.83992, 2.57652, 2.48223, 3.07331, 1.52825, 2.96712, 1.14173, 12.24785, 11.77675, 2.74754, 42.56268, 1.91747, 1.51609, 2.90705, 12.15275, 1096.47, 114.1701
4, 13/12/2023 08:11:33, 60.059, 60.06, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 115.19158, 117.22684, 2.93326, 2.40068, 1010.46813, 1.99677, 111.27731, 2.6786, 1133.64303, 43.19064, 43.85778, 2.53169, 2.45644, 3.0414, 1.52316, 2.85919, 1.19099, 12.22665, 11.88027, 2.79177, 43.97846, 1.90498, 1.491, 2.84033, 12.09207, 1077.15, 132.1227
5, 13/12/2023 08:12:33, 66.067, 60.06, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 99.93711, 114.70314, 2.87766, 2.36933, 1027.83332, 2.03619, 109.68205, 2.65123, 1122.01557, 42.93632, 43.62023, 2.70882, 2.52059, 3.11464, 1.52964, 2.94511, 1.24301, 12.31308, 12.052, 2.49391, 41.28284, 2.28452, 1.57179, 3.59079, 12.87501, 1046.52, 152.4716
6, 13/12/2023 08:13:39, 60.059, 66.07, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 107.20279, 112.66341, 2.84825, 2.30729, 1043.13194, 2.04238, 109.42327, 2.64325, 1113.92515, 42.95728, 43.51432, 2.64502, 2.45573, 3.13483, 1.53489, 2.99561, 1.29832, 12.34326, 12.2302, 2.57644, 43.14098, 2.09522, 1.58115, 3.31285, 12.60911, 1042.96, 169.8542
7, 13/12/2023 08:14:39, 60.061, 60.06, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 93.5437, 110.38988, 2.80237, 2.30588, 1057.81701, 2.13397, 107.76253, 2.61026, 1110.90211, 42.78994, 43.37994, 2.67967, 2.40771, 3.24985, 1.52292, 3.09147, 1.34069, 12.45818, 12.42059, 2.35357, 41.1691, 3.09266, 1.40744, 4.35273, 13.55696, 1082.44, 187.8949
8, 13/12/2023 08:15:39, 60.061, 60.06, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 80.07848, 106.91221, 2.77015, 2.27519, 1066.05393, 2.17546, 104.96362, 2.58937, 1105.49104, 42.57201, 42.98633, 2.68161, 2.53698, 3.3626, 1.54569, 3.18315, 1.39907, 12.70938, 12.69344, 2.41535, 40.06624, 2.56914, 1.79851, 4.62061, 15.50442, 1047.24, 205.3489
9, 13/12/2023 08:16:39, 60.058, 60.06, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 85.0495, 104.52118, 2.71326, 2.26063, 1072.05481, 2.18516, 103.19844, 2.58244, 1101.2329, 42.4098, 42.76585, 2.67224, 2.51569, 3.41967, 1.56495, 3.29296, 1.45666, 12.87248, 12.88694, 2.51293, 40.42447, 2.28571, 1.7959, 4.10492, 14.82835, 1051.33, 222.871
10, 13/12/2023 08:17:39, 60.058, 60.06, Pila 9223 Norte[Pila 9223 Norte], AC mantencion 03-03-2016 ., 82.34706, 102.0491, 2.63575, 2.26619, 1073.06011, 2.19659, 101.56108, 2.56788, 1093.33421, 42.27239, 42.49363, 2.6617, 2.5369, 3.4862, 1.5871, 3.44035, 1.51812, 13.02761, 13.06928, 2.40707, 40.31381, 2.32853, 1.89522, 4.41308, 15.18452, 986.237, 239.3083
