,id_eq,FCAO,SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,K2O,Na2O,C3S,C2S,C3A,C4AF,A/S," ""CaO""  [CurrentProduct.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"
276,Man_CLK462,1.805903,20.9,5.26,2.41,66.63,2.62,1.52,0.53,0.45,66.275918887,4.375525399999994,9.861279999999997,7.333630000000001,0.6787559151826031,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
277,Aus_CLK463,1.98,20.72,5.1,2.38,67.18,2.51,1.61,0.53,0.45,70.292,6.375955199999993,9.488039999999998,7.24234,0.6408130379363707,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
314,Aus_CLK463,1.85,20.97,5.0,2.36,67.01,2.51,1.56,0.55,0.46,68.92956000000004,2.4388794959999913,9.25688,7.18148,0.6805342906921494,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
317,Man_CLK462,1.6,20.72,5.3,2.43,66.89,2.56,1.51,0.51,0.46,69.24329000000002,2.253242183999987,9.933440000000001,7.394490000000001,0.6805238015154064,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
322,Aus_CLK463,1.87,20.95,4.97,2.34,67.16,2.52,1.53,0.54,0.46,69.84092999999996,1.6325787200000192,9.211219999999999,7.12062,0.6883155916221442,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
327,Aus_CLK463,2.36,21.07,5.08,2.37,66.99,2.54,1.51,0.55,0.44,65.46018999999997,3.7765794000000454,9.45196,7.2119100000000005,0.6859781734217548,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
346,Man_CLK462,1.69,20.87,5.23,2.41,67.21,2.65,1.53,0.53,0.44,69.53847999999995,2.1841962320000263,9.781780000000001,7.333630000000001,0.6658861210922256,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
348,Aus_CLK463,1.91,21.08,4.97,2.35,67.2,2.49,1.56,0.56,0.45,68.83863000000004,2.638577343999991,9.194299999999998,7.151050000000001,0.6777185294687011,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
356,Aus_CLK463,1.94,21.12,4.97,2.36,67.34,2.55,1.45,0.52,0.44,68.96814000000002,2.56342012799999,9.17738,7.18148,0.6967552599815399,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
368,Aus_CLK463,1.74,21.11,4.94,2.36,67.23,2.51,1.48,0.52,0.44,69.61207000000006,2.663201815999976,9.097880000000002,7.18148,0.6826318425494816,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
372,Aus_CLK463,1.89,21.15,4.93,2.34,67.39,2.5,1.46,0.52,0.46,69.44455999999998,2.443577000000019,9.10522,7.12062,0.7096586154699561,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
374,Man_CLK462,1.94,20.9,5.01,2.36,67.2,2.5,1.44,0.53,0.44,69.80148000000001,1.3040084319999892,9.28338,7.18148,0.7075040036604897,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
376,Aus_CLK463,1.75,21.09,4.91,2.34,67.24,2.48,1.44,0.53,0.42,69.99421,2.2868637760000325,9.05222,7.12062,0.6895828567070846,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
382,Man_CLK461,1.66,21.03,5.07,2.41,66.4,2.61,1.92,0.6,0.46,66.22198000000004,5.237018704000022,9.357780000000002,7.333630000000001,0.5750972317547471,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
385,Man_CLK461,1.42,20.99,5.06,2.44,66.45,2.61,1.78,0.6,0.46,67.73085000000002,4.721126151999982,9.28052,7.42492,0.6203295982972554,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
405,Man_CLK461,1.66,20.84,5.07,2.36,66.82,2.68,1.77,0.56,0.46,69.44729999999998,2.2591072960000176,9.442380000000002,7.18148,0.6046012043941387,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
407,Man_CLK462,1.99,21.08,5.02,2.36,67.22,2.56,1.42,0.52,0.45,68.24417000000005,2.841344975999995,9.30988,7.18148,0.7205622202673834,42.03533,14.24753,3.18202,1.51539,2.55013,0.9306360721580209,1.0059400657029265,0.2671331511173395,0.19642577365171868,0.37923249332790715
411,Aus_CLK463,1.66,20.87,4.85,2.37,67.05,2.47,1.51,0.51,0.42,71.61928999999996,0.706568040000036,8.842459999999999,7.2119100000000005,0.6463430709022895,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
414,Aus_CLK463,1.46,21.25,4.97,2.4,66.62,2.6,1.48,0.53,0.46,66.94590000000002,5.935865936000013,9.1097,7.3032,0.7058190654621678,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
424,Aus_CLK463,1.67,21.14,4.97,2.39,66.39,2.59,1.43,0.53,0.45,66.00496000000003,5.685396967999999,9.126619999999999,7.27277,0.7214748189353545,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
429,Man_CLK461,1.26,20.75,5.13,2.4,66.2,2.67,1.87,0.61,0.45,68.77539999999996,3.736423615999996,9.5337,7.3032,0.588125185807773,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
434,Aus_CLK463,1.93,21.02,4.89,2.36,66.66,2.6,1.51,0.55,0.44,67.53800999999996,3.386321824000028,8.96538,7.18148,0.6859781734217548,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
436,Aus_CLK463,1.9,21.0,4.91,2.36,66.6,2.61,1.44,0.55,0.44,67.43351999999993,3.4999439520000237,9.01838,7.18148,0.7193243346297568,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
442,Aus_CLK463,2.11,21.02,4.87,2.34,66.64,2.66,1.47,0.54,0.46,66.88677,3.3248080480000013,8.94622,7.12062,0.7164101055659051,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
444,Man_CLK462,2.36,21.11,4.99,2.35,67.06,2.63,1.4,0.51,0.46,66.07437999999999,3.4279144639999757,9.2473,7.151050000000001,0.7339935287773312,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
449,Man_CLK461,1.39,20.85,5.02,2.42,66.85,2.73,1.47,0.56,0.46,70.84269999999995,2.064301384000018,9.208359999999999,7.36406,0.7279892052909016,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
451,Man_CLK461,1.29,20.93,5.0,2.42,66.91,2.7,1.52,0.58,0.4,71.02041999999997,2.466705656000009,9.15536,7.36406,0.6643066141675397,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
452,Man_CLK462,1.64,21.09,5.08,2.41,66.6,2.62,1.49,0.51,0.46,66.59441999999994,5.189493216000038,9.38428,7.333630000000001,0.6896583491867541,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
453,Aus_CLK463,2.0,21.01,4.92,2.35,66.44,2.67,1.47,0.53,0.4,66.24617999999998,4.117227008000029,9.0618,7.151050000000001,0.6579543279219718,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
456,Aus_CLK463,2.0,21.11,4.94,2.34,66.65,2.7,1.5,0.54,0.39,66.22103000000004,4.42290016799997,9.131720000000001,7.12062,0.6418668496911462,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
458,Aus_CLK463,2.38,21.05,4.93,2.33,66.82,2.77,1.47,0.53,0.43,65.9036,3.323307648000032,9.122139999999998,7.090190000000001,0.6842874418126894,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
460,Aus_CLK463,1.99,21.04,4.91,2.35,66.64,2.78,1.51,0.53,0.44,66.94027000000003,3.710327136000025,9.0353,7.151050000000001,0.6747058048153014,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
463,Aus_CLK463,1.71,21.15,4.96,2.37,66.52,2.83,1.49,0.54,0.44,66.39112999999999,5.299893824000009,9.13396,7.2119100000000005,0.6894740963550184,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
464,Man_CLK461,1.55,21.1,5.08,2.43,66.35,2.73,1.54,0.54,0.46,65.83845999999996,6.064864056000047,9.350439999999999,7.394490000000001,0.683846009858364,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
467,Aus_CLK463,1.87,21.0,5.02,2.38,66.45,2.8,1.45,0.56,0.46,66.17741999999998,4.539680664000009,9.276039999999998,7.24234,0.7380304357087072,41.75094,14.22964,3.17455,1.52034,2.77754,0.8267931603672852,0.8422947477123734,0.24129080414937382,0.1216489108225132,0.502791771487888
