Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"
1, 09/01/2023 07:56:32,60.063,0, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,94.90796,93.36972,2.82606,2.30763,1172.74931,2.39427,93.68813,3.01885,1149.06424,41.76287,41.85785,2.86184,2.52167,3.31801,1.38582,3.50135,1.51729,14.20016,14.183,3.24333,43.09671,1.77777,1.78444,14.62382,1158.92
2, 09/01/2023 07:57:32,60.059,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,90.38009,93.91333,2.80791,2.32771,1172.68746,2.38793,93.63833,3.01929,1148.38205,41.75859,41.8882,2.85493,2.50104,3.31652,1.38887,3.51232,1.50892,14.20691,14.09918,3.04809,41.4507,2.38831,2.01672,14.65499,1103.44
3, 09/01/2023 07:58:32,60.059,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,91.14063,93.75376,2.81875,2.29897,1174.51267,2.38411,93.59779,3.01552,1148.80724,41.77451,41.84332,2.83059,2.52407,3.32141,1.39315,3.48999,1.51807,14.21683,14.11648,2.80208,42.77914,1.27717,2.18091,14.84588,1175.5
4, 09/01/2023 07:59:32,60.061,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,87.72396,94.17577,2.8322,2.34449,1174.67168,2.37569,93.50359,3.02554,1149.12147,41.75499,41.78137,2.8438,2.64357,3.31005,1.3933,3.47422,1.48186,14.23019,14.03661,3.77702,40.5119,3.68196,1.84543,15.07659,1169.27
5, 09/01/2023 08:00:32,60.058,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,77.42646,93.37733,2.86129,2.38802,1169.66247,2.37829,93.25286,3.03159,1148.2672,41.70628,41.61924,2.87047,2.7407,3.3102,1.39184,3.47703,1.45603,14.25469,14.1149,3.46324,38.30041,4.73554,2.57403,15.96784,1088.51
6, 09/01/2023 08:01:32,60.062,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,97.31991,93.81933,2.90182,2.39271,1170.57415,2.38123,93.30923,3.0379,1148.25787,41.68536,41.51113,2.89888,2.92528,3.30157,1.3865,3.41074,1.42547,14.24191,14.03378,3.55674,40.28871,4.7689,2.64257,13.39377,1147.63
7, 09/01/2023 08:02:32,60.06,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,99.41524,93.75569,2.93867,2.40344,1166.03245,2.38747,93.38781,3.03556,1148.09335,41.64692,41.24571,2.94406,3.20925,3.30047,1.38241,3.35765,1.39702,14.21519,13.97238,2.86467,39.03535,5.98854,2.91429,12.40737,1136.75
8, 09/01/2023 08:03:32,60.058,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,112.53038,95.58037,2.99479,2.38831,1161.42877,2.38311,93.628,3.04079,1147.83679,41.67379,41.43637,2.94208,3.23125,3.28737,1.37944,3.24771,1.35984,14.19079,13.79864,3.50849,43.4642,2.80431,2.03387,12.51384,1129.78
9, 09/01/2023 08:04:32,60.062,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,96.01573,95.80584,3.03656,2.37258,1154.74149,2.39071,93.65848,3.03829,1147.72784,41.62226,41.29228,2.99598,3.40798,3.28761,1.37516,3.18317,1.34165,14.16686,13.73991,2.85511,38.04509,6.70435,3.05926,12.50924,1140.02
10, 09/01/2023 08:05:32,60.059,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,96.08772,95.83841,3.01109,2.37402,1152.17981,2.39154,93.69233,3.03171,1148.10021,41.62986,41.37444,2.99275,3.36653,3.29372,1.37724,3.21303,1.35341,14.16097,13.74998,2.62287,42.16058,2.76739,2.44398,13.74936,1174.04
11, 09/01/2023 08:06:33,60.061,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,89.38607,94.99137,2.9852,2.39215,1147.45585,2.39459,93.63476,3.02671,1147.8402,41.60429,41.20434,3.00644,3.43979,3.29977,1.37801,3.26033,1.36293,14.15825,13.80137,2.69381,39.71717,4.01656,2.61072,13.95714,1128.73
12, 09/01/2023 08:07:33,60.06,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,82.16186,94.06872,3.01891,2.33864,1144.31446,2.38665,93.47794,3.03052,1146.93135,41.5837,40.9109,3.01703,3.69473,3.29685,1.38137,3.21547,1.37493,14.17745,13.85803,3.3297,39.95307,3.85262,1.86161,15.69248,1075.9
13, 09/01/2023 08:08:33,60.058,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,90.08374,92.75097,3.04632,2.2762,1136.01735,2.37641,93.43568,3.02746,1145.69226,41.58482,40.94641,3.01093,3.56176,3.29737,1.38755,3.21239,1.4113,14.18341,14.08523,2.80185,41.67142,2.50727,1.76114,14.67294,1044.68
14, 09/01/2023 08:09:33,60.061,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,95.53981,92.37894,3.03213,2.27283,1128.58047,2.37549,93.461,3.02265,1144.8078,41.59477,40.93138,2.99264,3.46843,3.30159,1.38985,3.23621,1.42387,14.18059,14.12996,2.6696,42.393,1.49484,2.30991,13.94457,1073.8
15, 09/01/2023 08:10:33,60.059,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,98.68273,92.89614,3.00711,2.26575,1122.82046,2.37836,93.52188,3.0138,1143.93893,41.60786,41.04139,2.97806,3.39691,3.31026,1.39183,3.24781,1.43344,14.17113,14.07704,2.40032,42.67932,1.77667,2.58932,13.38945,1073.28
16, 09/01/2023 08:11:33,60.06,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,104.93106,93.44958,2.98322,2.27698,1119.43544,2.37178,93.64407,3.01221,1143.51015,41.58041,40.7914,3.01231,3.66269,3.30271,1.3925,3.23651,1.42141,14.14296,13.89561,2.8722,39.42173,5.68213,1.87712,11.93923,1109.36
17, 09/01/2023 08:12:33,60.062,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,95.92195,93.82397,2.99998,2.26604,1121.61186,2.3649,93.6722,3.01575,1143.4171,41.57669,40.78123,3.02315,3.75774,3.29523,1.3934,3.2022,1.41313,14.13972,13.84591,3.32383,41.27852,3.86314,1.85708,13.88533,1136.09
18, 09/01/2023 08:13:33,60.061,60.06, Pila 0323 Sur[Pila 0323 Sur], AC mantencion 03-03-2016 .,97.33631,94.26473,3.03229,2.23609,1121.18792,2.35669,93.7173,3.01852,1143.75184,41.57809,40.70594,3.02202,3.87026,3.2878,1.39509,3.1387,1.40366,14.13537,13.77376,3.25564,41.6867,2.93416,1.77656,13.79833,1169.68
