Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"
1, 01/02/2023 07:52:19,60.059,0, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,92.45179,93.021,2.5023,1.85169,1159.48025,1.83576,92.22302,2.83904,1092.52328,41.95497,41.75069,2.39086,2.44396,3.29333,1.79399,3.64273,1.96725,14.44311,14.03784,2.89307,41.97303,2.49609,1.7407,1.8229,3.17312,14.45384,1246.46
2, 01/02/2023 07:53:19,60.066,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,99.75291,92.70257,2.51185,1.84947,1175.45305,1.83212,92.37329,2.83592,1096.77961,41.95638,41.7149,2.40369,2.46018,3.28909,1.79524,3.63848,1.96731,14.41873,14.08089,2.69003,42.0109,2.98647,1.67188,1.8514,3.09532,13.30681,1293.25
3, 01/02/2023 07:54:20,60.053,60.07, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,93.10601,91.42509,2.53819,1.83878,1192.40175,1.82822,92.38876,2.8328,1100.81272,41.98333,41.67188,2.37749,2.38141,3.29149,1.80038,3.64484,1.98221,14.42423,14.2825,2.69471,43.26076,1.13529,1.66596,2.04408,3.40535,14.68465,1291.3
4, 01/02/2023 07:55:20,60.061,60.05, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,95.31812,91.01589,2.53167,1.86531,1203.10792,1.8394,92.44249,2.81778,1103.28842,41.96773,41.57847,2.38767,2.43167,3.31076,1.79991,3.67891,1.97228,14.40075,14.30698,2.17673,41.17314,2.90575,2.41586,1.77614,4.29091,13.20633,1228.77
5, 01/02/2023 07:56:20,60.061,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,87.74099,90.55098,2.5791,1.83478,1215.90372,1.83826,92.34857,2.82228,1106.26886,41.95365,41.60085,2.39007,2.3971,3.30763,1.79932,3.61986,1.97291,14.41325,14.42432,3.05981,41.23757,2.51178,1.77954,1.76931,3.14857,15.0478,1256.87
6, 01/02/2023 07:57:20,60.058,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,88.39969,90.15297,2.56904,1.84533,1229.1859,1.84583,92.27069,2.81165,1109.10034,41.95661,41.61285,2.37359,2.32205,3.32639,1.80211,3.65646,1.98147,14.41954,14.4841,2.35881,42.107,1.51447,2.20988,1.94753,4.30381,14.74576,1255.2
7, 01/02/2023 07:58:20,60.059,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,104.87574,91.13923,2.56382,1.862,1240.18051,1.85428,92.47581,2.79947,1111.06965,41.97013,41.72879,2.37008,2.29423,3.33804,1.80018,3.64445,1.95727,14.38428,14.36182,2.20262,42.70184,2.18007,2.34094,1.69532,3.96865,12.47559,1217.83
8, 01/02/2023 07:59:20,60.062,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,92.51172,90.52397,2.57949,1.85521,1244.78725,1.84915,92.47642,2.79767,1113.12573,41.93527,41.51298,2.39935,2.44113,3.33403,1.80301,3.62631,1.95466,14.37174,14.39606,2.69838,40.03443,3.99376,1.59192,1.95712,3.11556,13.68803,1225.9
9, 01/02/2023 08:00:20,60.058,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,93.93397,90.5602,2.56657,1.89343,1243.91024,1.84907,92.50067,2.79251,1114.4917,41.92371,41.49365,2.40928,2.47948,3.33766,1.80504,3.664,1.93512,14.36103,14.37054,2.51465,41.26145,2.97797,1.84486,1.92172,3.54531,13.74766,1192.89
10, 01/02/2023 08:01:20,60.062,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,95.30571,91.42192,2.5604,1.90636,1247.60561,1.85111,92.54893,2.78064,1117.16744,41.92073,41.60021,2.40763,2.44314,3.34954,1.80948,3.65469,1.9171,14.3454,14.26603,2.22463,41.75556,2.31632,1.95,2.05436,4.00601,13.48208,1264.56
11, 01/02/2023 08:02:20,60.059,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,97.42281,92.61804,2.57898,1.87076,1248.30992,1.85045,92.62852,2.77597,1119.0564,41.92182,41.71062,2.41184,2.45187,3.35135,1.8111,3.57178,1.90926,14.33079,14.13549,2.51806,41.98188,2.65335,1.81447,1.90383,3.45443,13.49241,1228.14
12, 01/02/2023 08:03:20,63.93,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,86.77976,92.66439,2.57261,1.87131,1245.85178,1.85814,92.53218,2.76655,1120.10986,41.8964,41.68334,2.42246,2.47151,3.36761,1.81235,3.57577,1.91084,14.33066,14.11488,2.29001,40.33585,3.07322,2.31038,1.88927,4.36493,14.32217,1184.29
13, 01/02/2023 08:04:24,62.199,63.93, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,94.32454,93.71144,2.55491,1.86606,1251.01779,1.85316,92.56185,2.76352,1122.48439,41.89457,41.73433,2.42465,2.50934,3.36662,1.81669,3.55833,1.90687,14.32418,13.96308,2.59376,41.78849,2.55243,1.59949,2.06866,3.30879,13.94782,1260.62
14, 01/02/2023 08:05:26,60.06,62.2, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,94.07024,93.73502,2.50461,1.93385,1248.85101,1.86191,92.58715,2.75315,1125.84393,41.88808,41.72814,2.42303,2.47517,3.38175,1.81628,3.66233,1.8938,14.31097,13.91594,2.24438,41.51371,2.33023,2.36835,1.79303,4.24652,13.55506,1316.24
15, 01/02/2023 08:06:26,60.059,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,104.18251,94.51867,2.49568,1.9142,1249.62979,1.85719,92.7647,2.7494,1128.16302,41.91158,41.77753,2.41517,2.49798,3.37837,1.81908,3.63548,1.89921,14.28987,13.81284,2.52643,43.29181,1.94991,1.60227,1.98355,3.17819,13.0408,1267.1
16, 01/02/2023 08:07:26,60.06,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,104.47418,95.29578,2.46664,1.93057,1252.40688,1.8594,92.93849,2.74387,1130.76938,41.91051,41.76926,2.4355,2.57721,3.37934,1.81744,3.65236,1.89185,14.25926,13.6756,2.41556,41.83266,3.63078,1.99672,1.72037,3.4351,12.45339,1287.06
17, 01/02/2023 08:08:26,60.059,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,94.68785,94.95537,2.45424,1.93877,1248.64524,1.85834,92.96629,2.73943,1132.43848,41.94291,41.89902,2.4023,2.39778,3.38515,1.82159,3.69816,1.90748,14.26348,13.75759,2.48739,44.00894,0.2826,1.79955,2.08688,3.75545,14.53215,1238.21
18, 01/02/2023 08:09:26,60.062,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,84.62289,94.35338,2.4246,1.97973,1244.30627,1.86468,92.83216,2.73062,1133.88175,41.92122,41.7139,2.41363,2.53425,3.40183,1.82435,3.77014,1.90438,14.27075,13.75845,2.27191,40.51278,3.14922,2.2389,2.00348,4.4856,14.74258,1227.59
19, 01/02/2023 08:10:26,60.058,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,102.94189,94.84375,2.45377,1.95013,1247.00205,1.86566,92.97679,2.72891,1135.96718,41.92888,41.79703,2.42022,2.53062,3.39964,1.82222,3.70114,1.89789,14.25002,13.73871,2.61544,42.40146,2.83413,1.93224,1.68786,3.26135,12.94436,1268.97
20, 01/02/2023 08:11:27,60.059,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,101.78348,95.81597,2.43891,1.94686,1247.48232,1.86368,93.10527,2.72997,1137.9048,41.96003,41.98186,2.39892,2.42947,3.3951,1.82172,3.69732,1.89912,14.24177,13.64923,2.80271,43.97444,1.02032,1.733,1.78954,3.10128,13.70757,1263.92
21, 01/02/2023 08:12:27,60.062,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,90.84503,95.99889,2.46577,1.94243,1248.76345,1.86792,93.0709,2.73049,1139.94942,41.95404,41.94467,2.39998,2.49276,3.39788,1.81907,3.64923,1.87869,14.24486,13.63058,2.76499,41.56026,2.46992,2.17658,1.64496,3.58038,14.44802,1273.91
22, 01/02/2023 08:13:27,60.06,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,95.76087,95.44967,2.4843,1.93572,1253.78836,1.87271,93.10984,2.72658,1142.24414,41.94534,41.85655,2.40985,2.55164,3.40298,1.81714,3.63454,1.87762,14.23309,13.69384,2.48106,41.37646,3.05378,2.20931,1.69099,3.73593,13.46449,1292.67
23, 01/02/2023 08:14:27,60.06,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,98.87578,95.85877,2.46425,1.97201,1258.10333,1.8764,93.18738,2.72126,1144.43269,41.92045,41.86646,2.43431,2.56081,3.40625,1.81531,3.66758,1.85982,14.20921,13.6209,2.37472,40.26884,4.05635,2.13878,1.69382,3.62272,12.62532,1290.35
24, 01/02/2023 08:15:27,60.066,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,99.07169,96.19062,2.4539,1.98408,1265.07976,1.87862,93.26717,2.71568,1146.71522,41.90044,41.81473,2.45861,2.63903,3.40923,1.81475,3.67103,1.85024,14.18667,13.54865,2.35747,40.56671,4.06711,2.02878,1.77747,3.60608,12.69154,1300.03
25, 01/02/2023 08:16:27,60.052,60.07, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,109.413,97.05051,2.47153,1.98252,1264.64198,1.87914,93.46637,2.71233,1148.27221,41.91054,41.87167,2.46399,2.67369,3.40681,1.81296,3.61984,1.82588,14.15777,13.45927,2.46615,42.60213,2.83709,1.91798,1.68833,3.23817,12.14948,1257.96
26, 01/02/2023 08:17:27,60.062,60.05, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,89.85774,96.51406,2.46269,1.98645,1269.37355,1.87924,93.41437,2.70717,1150.42641,41.89845,41.80963,2.46468,2.66414,3.41353,1.81644,3.64827,1.83658,14.15843,13.5075,2.39093,41.05392,2.51244,1.88545,2.05877,3.88171,14.20324,1299.43
27, 01/02/2023 08:18:27,60.06,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,94.5522,97.01961,2.45826,1.9583,1277.60875,1.87931,93.43009,2.69962,1152.73094,41.8889,41.85955,2.46984,2.65028,3.42066,1.82017,3.62265,1.8499,14.14822,13.45296,2.24225,41.22597,2.82759,1.88317,2.07887,3.91486,13.43946,1312.79
28, 01/02/2023 08:19:27,60.059,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,95.91951,97.12446,2.45065,1.97301,1282.36123,1.8781,93.46416,2.69628,1155.24708,41.88244,41.83476,2.47822,2.68496,3.42188,1.822,3.63516,1.84244,14.13897,13.42367,2.47385,41.43346,3.06021,1.7995,1.94885,3.50695,13.49683,1330.2
29, 01/02/2023 08:20:27,60.062,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,87.68508,96.67734,2.45602,1.95366,1279.0564,1.88082,93.38549,2.69036,1156.74394,41.86463,41.77142,2.48468,2.72738,3.43162,1.82454,3.62794,1.857,14.14095,13.47108,2.31424,40.52988,2.96721,2.06493,2.0143,4.15939,14.2874,1267.54
30, 01/02/2023 08:21:27,60.057,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,97.7383,96.26604,2.43806,1.99417,1279.37563,1.88488,93.44035,2.68409,1158.26477,41.86387,41.67213,2.48591,2.76933,3.43909,1.82457,3.68231,1.84654,14.1281,13.47969,2.26121,41.807,2.57765,2.188,1.8267,3.99681,13.16816,1271.96
31, 01/02/2023 08:22:27,60.062,60.06, Pila 1023 norte[Pila 1023 norte], AC mantencion 03-03-2016 .,89.18104,95.24145,2.46733,1.9724,1279.58194,1.88208,93.38113,2.68663,1160.00663,41.86985,41.70373,2.47397,2.63096,3.43719,1.82627,3.67323,1.86232,14.14094,13.65802,2.87785,42.31738,1.57744,1.68572,1.95428,3.29436,15.10481,1290.11
