Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"
1, 27/02/2023 13:50:32,60.058,0, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,93.54553,93.13869,3.05243,2.34171,1119.76844,2.41022,88.69759,3.03104,1111.20058,39.81665,40.77568,4.07056,3.51623,3.33564,1.38395,3.20631,1.36922,14.30526,13.96646,2.72194,40.22971,4.18564,2.58018,1.38814,3.58164,13.52745,1101.65
2, 27/02/2023 13:51:33,60.06,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,89.81313,93.41357,3.04163,2.37286,1120.88469,2.40961,88.73539,3.03526,1111.05737,39.79854,40.80296,4.09404,3.51458,3.32832,1.38127,3.22132,1.35757,14.29485,13.92726,3.16045,39.29339,4.74646,2.39172,1.3065,3.12479,14.00488,1107.05
3, 27/02/2023 13:52:33,60.062,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,93.49833,94.03833,3.03966,2.40213,1119.48668,2.40758,88.88608,3.04583,1109.53553,39.83707,40.83641,4.07835,3.56139,3.3148,1.37682,3.21555,1.33862,14.2899,13.84315,3.40431,40.98725,3.60852,2.33991,1.24371,2.91017,14.14107,1063.63
4, 27/02/2023 13:53:33,60.057,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,84.20177,93.24552,3.07345,2.34828,1110.25501,2.39138,88.73033,3.05566,1108.18478,39.85579,40.88088,4.05009,3.48203,3.30632,1.3826,3.19383,1.36007,14.32776,13.99622,3.36765,40.43891,3.16959,1.94681,1.56264,3.04217,15.5074,1066.19
5, 27/02/2023 13:54:33,60.061,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,87.30887,92.6312,3.07942,2.36751,1101.58325,2.38792,88.68556,3.06169,1106.46498,39.90808,40.90668,3.99832,3.40206,3.30515,1.38411,3.21898,1.35965,14.35706,14.09951,3.25776,41.61403,2.30938,2.27908,1.43347,3.26698,15.31293,1050.45
6, 27/02/2023 13:55:33,60.06,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,105.23519,93.202,3.08292,2.35163,1108.87537,2.3911,89.17416,3.05365,1109.38897,39.97056,40.90962,3.98618,3.46045,3.30117,1.38061,3.1901,1.35655,14.29652,14.01694,2.80898,41.77088,3.63304,2.49066,1.27862,3.18461,12.53712,1195.63
7, 27/02/2023 13:56:33,60.059,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,88.17836,92.91343,3.10417,2.32401,1110.25326,2.38992,89.14226,3.05855,1111.19594,39.99462,40.8569,3.96581,3.51574,3.29915,1.38044,3.1655,1.36209,14.31278,14.05444,3.21342,40.74422,3.33124,2.35316,1.37531,3.23634,14.8192,1167.62
8, 27/02/2023 13:57:33,60.063,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,90.47688,92.36053,3.0896,2.3629,1102.93986,2.39642,89.18038,3.05332,1111.33721,39.99783,40.89571,3.96721,3.43743,3.3056,1.37939,3.21624,1.36114,14.30474,14.1423,2.88412,40.10521,4.01421,2.62079,1.34394,3.5222,14.03454,1116.1
9, 27/02/2023 13:58:33,60.056,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,96.28898,92.00826,3.03656,2.37994,1104.33385,2.38855,89.38448,3.0437,1112.8565,40.07292,40.95719,3.90485,3.31128,3.31048,1.38598,3.29056,1.38262,14.29458,14.1904,2.74783,42.57731,1.82469,2.16313,1.60564,3.4732,13.95579,1163.45
10, 27/02/2023 13:59:33,60.063,60.06, Pila 1623 Norte[Pila 1623 Norte], AC mantencion 03-03-2016 .,87.42256,91.68008,3.02715,2.41339,1104.47618,2.39603,89.32865,3.04163,1113.25218,40.09253,40.8974,3.8819,3.35553,3.31911,1.38526,3.31974,1.37555,14.30896,14.21336,2.97242,40.78881,3.0666,2.66668,1.35972,3.62595,14.81951,1127.26
