Index, Time, Period, Seconds since, Mound, Comment," ""LSF""  [CurrentAnalysis.Dry basis]"," ""LSF""  [Rolling.Analysis1.Dry basis]"," ""SM""  [Rolling.Analysis1.Dry basis]"," ""IM""  [Rolling.Analysis1.Dry basis]"," ""Tph""  [Rolling.Analysis1.Dry basis]"," ""IM""  [CurrentProduct.Dry basis]"," ""LSF""  [CurrentProduct.Dry basis]"," ""SM""  [CurrentProduct.Dry basis]"," ""Tph""  [CurrentProduct.Dry basis]"," ""CaO""  [CurrentProduct.Dry basis]"," ""CaO""  [Rolling.Analysis1.Dry basis]"," ""MgO""  [CurrentProduct.Dry basis]"," ""MgO""  [Rolling.Analysis1.Dry basis]"," ""Al2O3""  [CurrentProduct.Dry basis]"," ""Fe2O3""  [CurrentProduct.Dry basis]"," ""Al2O3""  [Rolling.Analysis1.Dry basis]"," ""Fe2O3""  [Rolling.Analysis1.Dry basis]"," ""SiO2""  [CurrentProduct.Dry basis]"," ""SiO2""  [Rolling.Analysis1.Dry basis]"," ""SM""  [CurrentAnalysis.Dry basis]"," ""CaO""  [CurrentAnalysis.Dry basis]"," ""MgO""  [CurrentAnalysis.Dry basis]"," ""IM""  [CurrentAnalysis.Dry basis]"," ""Fe2O3""  [CurrentAnalysis.Dry basis]"," ""Al2O3""  [CurrentAnalysis.Dry basis]"," ""SiO2""  [CurrentAnalysis.Dry basis]"," ""Tph""  [CurrentAnalysis.Dry basis]"
1, 13/03/2023 10:34:13,60.057,0, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,141.81619,88.47062,2.87035,2.28653,914.5882,4.28659,141.81619,3.06536,706.391,45.29947,41.48764,2.31725,2.55459,2.68042,0.6253,3.60277,1.57565,10.13323,14.86386,3.06536,45.29947,2.31725,4.28659,0.6253,2.68042,10.13323,706.391
2, 13/03/2023 10:35:13,60.063,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,130.35955,90.35987,2.82009,2.39017,902.74314,3.04184,135.34467,3.14293,773.28049,45.88193,41.84221,1.66979,2.37089,2.59037,0.85158,3.66004,1.53128,10.81782,14.64,3.20475,46.38021,1.11421,2.40321,1.0457,2.51303,11.40486,830.195
3, 13/03/2023 10:36:13,60.058,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,105.51714,91.58694,2.87956,2.39716,890.65043,2.73662,123.45928,3.39794,804.06892,44.79819,41.90989,2.07134,2.44318,2.51838,0.92025,3.55349,1.48238,11.68427,14.50108,3.86023,42.83571,2.79709,2.28668,1.04433,2.38804,13.24974,859.135
4, 13/03/2023 10:37:13,60.06,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,98.29574,91.25214,2.88865,2.41775,886.58947,2.63138,115.53577,3.20399,837.6524,44.49348,41.93149,1.8225,2.36621,2.7891,1.05994,3.56697,1.47533,12.33231,14.56545,2.84444,43.65718,1.15876,2.45117,1.43137,3.50854,14.0513,924.664
5, 13/03/2023 10:38:13,60.062,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,78.90339,89.82406,2.88521,2.43707,899.98908,2.56896,104.49375,3.1028,900.57944,43.86555,41.93277,1.62065,2.21526,3.10894,1.21019,3.63571,1.49184,13.40141,14.79407,2.88914,41.7886,0.97454,2.44399,1.68698,4.12297,16.78575,1091.93
6, 13/03/2023 10:39:13,60.058,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,73.1119,88.97423,2.86624,2.49536,904.70997,2.66525,97.4838,3.01202,923.78177,43.03213,41.7831,1.8324,2.26649,3.38991,1.2719,3.70292,1.48392,14.04144,14.86675,2.72978,39.28627,2.77318,3.00079,1.54541,4.63743,16.87777,1023.78
7, 13/03/2023 10:40:13,60.059,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,66.02235,87.46219,2.92751,2.44947,915.79326,2.52887,91.04317,3.09546,953.44623,42.30537,41.6,1.9781,2.31922,3.43397,1.35791,3.66186,1.49496,14.83309,15.09668,3.46171,38.52041,2.72372,2.03346,1.79786,3.65588,18.87927,1100.04
8, 13/03/2023 10:41:14,60.062,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,63.57036,86.08936,2.95893,2.42992,916.9076,2.44382,86.72877,3.13832,957.68492,41.76631,41.48237,2.07124,2.27948,3.48235,1.42496,3.66648,1.50889,15.40071,15.31358,3.38712,37.98476,2.71113,2.02109,1.88572,3.81121,19.2962,985.789
9, 13/03/2023 10:42:14,60.058,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,69.98921,85.1478,2.94826,2.4647,921.32101,2.46131,84.50436,3.09079,963.80738,41.52929,41.53844,2.03982,2.08288,3.60974,1.46659,3.73875,1.51692,15.68992,15.49508,2.8096,39.67418,1.79675,2.56859,1.78513,4.58527,17.89828,1009.43
10, 13/03/2023 10:43:14,60.061,60.06, Pila 1923 Sur[Pila 1923 Sur], AC mantencion 03-03-2016 .,77.65844,85.19251,2.97468,2.47113,922.7416,2.40774,83.78013,3.12754,964.1651,41.30155,41.46272,2.22901,2.1557,3.5609,1.47894,3.70315,1.49856,15.76228,15.47345,3.4715,39.31254,3.87596,1.97644,1.58622,3.13507,16.38998,967.32
