Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 29/03/2023 12:10:16, 60.064, 0, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 98.04963, 93.82847, 3.25685, 2.18751, 1120.31879, 2.20386, 92.02801, 3.23915, 1123.32087, 41.41781, 41.31136, 3.03274, 3.28844, 3.06998, 1.393, 2.98195, 1.36317, 14.45629, 14.15137, 3.77557, 40.33027, 4.53784, 2.04748, 1.1658, 2.38694, 13.41362, 1053.68
2, 29/03/2023 12:11:16, 60.06, 60.07, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 107.78762, 94.00573, 3.21893, 2.27579, 1118.86005, 2.25257, 92.74741, 3.21786, 1124.56853, 41.48038, 41.21345, 3.0288, 3.37123, 3.08901, 1.37133, 3.03632, 1.33418, 14.35273, 14.06834, 2.82205, 42.6258, 2.95601, 3.5334, 0.97305, 3.43819, 12.44877, 1147.72
3, 29/03/2023 12:12:16, 60.058, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 105.1875, 94.62481, 3.31359, 2.20849, 1117.26124, 2.26039, 93.2973, 3.22518, 1126.09603, 41.49097, 41.15859, 3.07688, 3.52673, 3.06846, 1.35749, 2.9088, 1.3171, 14.27451, 14.0029, 3.39135, 41.68698, 3.99769, 2.44867, 1.09215, 2.67432, 12.7734, 1155.76
4, 29/03/2023 12:13:16, 60.06, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 110.53151, 95.98026, 3.34163, 2.22202, 1114.4344, 2.26535, 93.98917, 3.23288, 1125.17092, 41.57204, 41.35082, 3.06586, 3.4673, 3.04726, 1.34516, 2.86455, 1.28916, 14.20019, 13.88018, 3.42747, 43.27028, 2.83339, 2.39576, 1.08544, 2.60046, 12.63335, 1105.42
5, 29/03/2023 12:14:17, 60.059, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 110.41011, 97.83256, 3.42266, 2.18436, 1114.09553, 2.2528, 94.59014, 3.25404, 1122.41292, 41.6057, 41.48789, 3.09621, 3.52963, 3.00768, 1.33509, 2.74509, 1.2567, 14.13156, 13.69678, 3.91579, 42.35424, 3.78759, 1.90379, 1.10441, 2.10256, 12.55784, 1058.01
6, 29/03/2023 12:15:17, 60.06, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 95.44476, 98.57585, 3.4617, 2.22171, 1110.2582, 2.25889, 94.62555, 3.26186, 1120.34995, 41.69143, 41.70949, 3.01097, 3.39509, 3.00866, 1.33192, 2.72487, 1.22648, 14.15836, 13.6784, 3.45291, 43.75896, 0.955, 2.41518, 1.25546, 3.03217, 14.80479, 1070.71
7, 29/03/2023 12:16:17, 60.06, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 91.81108, 99.02047, 3.38267, 2.3291, 1102.56941, 2.2942, 94.51837, 3.23441, 1117.44941, 41.69469, 41.78248, 2.98487, 3.3284, 3.04917, 1.32908, 2.81359, 1.20802, 14.16102, 13.60377, 2.65445, 41.77216, 2.30364, 3.2718, 1.25475, 4.10528, 14.22791, 1042.81
8, 29/03/2023 12:17:17, 60.062, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 94.64076, 99.59366, 3.33612, 2.39791, 1109.25645, 2.30798, 94.52318, 3.22534, 1119.71271, 41.63931, 41.85691, 3.02643, 3.27944, 3.05799, 1.32497, 2.86141, 1.1933, 14.13654, 13.52699, 3.0166, 40.32948, 4.00842, 2.66053, 1.22776, 3.2665, 13.5574, 1173.48
9, 29/03/2023 12:18:17, 60.059, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 89.49834, 99.76707, 3.29897, 2.42996, 1113.73503, 2.31248, 94.32122, 3.21865, 1121.37733, 41.62983, 41.84988, 3.01751, 3.2739, 3.0713, 1.32814, 2.89574, 1.19169, 14.16029, 13.48429, 3.06594, 41.39165, 2.79379, 2.41869, 1.40777, 3.40497, 14.75557, 1162.96
10, 29/03/2023 12:19:23, 60.059, 66.07, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 104.60708, 100.52751, 3.33419, 2.37692, 1122.96832, 2.27743, 94.6829, 3.23485, 1123.70909, 41.66413, 41.90008, 3.01389, 3.30066, 3.03472, 1.33252, 2.83214, 1.19152, 14.12741, 13.41564, 3.74188, 42.52666, 2.92211, 1.46215, 1.44306, 2.10997, 13.29499, 1183.25
11, 29/03/2023 12:20:23, 60.065, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 91.54078, 100.59782, 3.3008, 2.38601, 1128.96349, 2.29335, 94.56802, 3.21952, 1124.43853, 41.67906, 41.92129, 2.98709, 3.26881, 3.05875, 1.33375, 2.86049, 1.19886, 14.14173, 13.39912, 2.85707, 42.08981, 2.24914, 2.7206, 1.36744, 3.72026, 14.53591, 1144.45
12, 29/03/2023 12:21:23, 60.054, 60.07, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 94.19394, 99.6533, 3.29804, 2.41875, 1136.16965, 2.29239, 94.55434, 3.22522, 1127.65454, 41.69956, 41.89548, 2.96624, 3.2213, 3.05546, 1.33287, 2.89917, 1.19862, 14.15334, 13.51469, 3.38227, 42.24884, 2.40749, 2.26624, 1.30932, 2.96724, 14.46451, 1213.87
13, 29/03/2023 12:22:23, 60.06, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 90.08426, 99.45453, 3.32173, 2.35338, 1136.87754, 2.27774, 94.40472, 3.23949, 1127.35806, 41.70089, 41.9484, 2.95652, 3.16606, 3.04255, 1.33578, 2.86749, 1.21846, 14.18357, 13.57244, 3.70561, 41.74015, 2.66154, 1.86158, 1.42403, 2.65095, 15.1003, 1118.41
14, 29/03/2023 12:23:23, 60.062, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 92.948, 98.05728, 3.29456, 2.38955, 1127.96065, 2.27329, 94.35876, 3.25313, 1127.31933, 41.69333, 41.9165, 2.96581, 3.05483, 3.03027, 1.33299, 2.94051, 1.23057, 14.19422, 13.74189, 3.72807, 41.45914, 3.25377, 2.12566, 1.24644, 2.6495, 14.52431, 1126.12
15, 29/03/2023 12:24:23, 60.059, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 82.68607, 96.83934, 3.30889, 2.36026, 1122.98063, 2.27442, 94.00277, 3.25716, 1125.14704, 41.63965, 41.83653, 2.99067, 3.03497, 3.03489, 1.33436, 2.94982, 1.24978, 14.23132, 13.89602, 3.39023, 39.77748, 3.85072, 2.31208, 1.38164, 3.19445, 15.51397, 1050.72
16, 29/03/2023 12:25:23, 60.06, 60.06, Pila 2323 Sur[Pila 2323 Sur], AC mantencion 03-03-2016 ., 84.74237, 95.84769, 3.30852, 2.36665, 1129.44658, 2.27215, 93.69524, 3.26909, 1126.03188, 41.64035, 41.91917, 2.96879, 2.88852, 3.03401, 1.3353, 2.98884, 1.2629, 14.28366, 14.06696, 3.65447, 41.66114, 2.26156, 2.20045, 1.3658, 3.00537, 15.97429, 1154.43
