Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 11/04/2023 15:30:42, 60.061, 0, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 98.07642, 93.43777, 2.85282, 2.12058, 1148.43141, 2.17647, 92.54295, 2.84443, 1141.72874, 41.92284, 42.05197, 2.403, 2.3281, 3.45746, 1.58856, 3.39887, 1.6028, 14.35307, 14.26887, 2.89391, 42.28026, 2.52626, 2.24791, 1.45541, 3.27163, 13.67963, 1080.56
2, 11/04/2023 15:31:42, 60.059, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 100.75545, 94.39008, 2.84524, 2.17031, 1145.70366, 2.17893, 92.89538, 2.84744, 1141.19768, 41.98997, 42.17676, 2.3561, 2.27229, 3.4478, 1.58234, 3.40655, 1.56962, 14.32301, 14.15839, 2.91597, 43.41365, 1.36125, 2.2361, 1.45027, 3.24295, 13.68528, 1129.96
3, 11/04/2023 15:32:42, 60.062, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 98.09198, 95.29373, 2.84526, 2.19315, 1142.77911, 2.19057, 93.10769, 2.83937, 1139.59963, 42.03, 42.39226, 2.33212, 2.14491, 3.45745, 1.57833, 3.40219, 1.55128, 14.29842, 14.09391, 2.66058, 42.94006, 1.78684, 2.47206, 1.48731, 3.67671, 13.7393, 1103.33
4, 11/04/2023 15:33:42, 60.06, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 97.25012, 95.63721, 2.84069, 2.16212, 1140.42284, 2.18209, 93.26824, 2.83206, 1137.24545, 42.06174, 42.48058, 2.31101, 2.07395, 3.45796, 1.5847, 3.38727, 1.56664, 14.28113, 14.07256, 2.66112, 42.82991, 1.80019, 1.99586, 1.73885, 3.4705, 13.8627, 1080.27
5, 11/04/2023 15:34:42, 60.058, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 110.90967, 96.00622, 2.83794, 2.14522, 1138.7428, 2.17088, 93.88397, 2.84041, 1135.15521, 42.16802, 42.62323, 2.26395, 1.96279, 3.42965, 1.57984, 3.38042, 1.57579, 14.22898, 14.06541, 3.08938, 44.78979, 1.09837, 1.86943, 1.45911, 2.7277, 12.93462, 1082.59
6, 11/04/2023 15:35:42, 60.06, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 105.30181, 96.15153, 2.80368, 2.17501, 1127.63354, 2.17676, 94.26479, 2.83457, 1132.09701, 42.2199, 42.71962, 2.24813, 1.86679, 3.42903, 1.5753, 3.43391, 1.5788, 14.18515, 14.05402, 2.67418, 43.60267, 1.82516, 2.3474, 1.45369, 3.4124, 13.01279, 1049.62
7, 11/04/2023 15:36:42, 60.06, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 104.19227, 96.44468, 2.7878, 2.19834, 1124.99143, 2.18769, 94.6073, 2.83083, 1131.33811, 42.28351, 42.83324, 2.2115, 1.78019, 3.43096, 1.5683, 3.46097, 1.57436, 14.15207, 14.03749, 2.72932, 43.96029, 1.24572, 2.51567, 1.38398, 3.48165, 13.27985, 1111.29
8, 11/04/2023 15:37:42, 60.062, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 93.42738, 95.97359, 2.79804, 2.19563, 1125.08949, 2.18193, 94.56581, 2.84126, 1130.23089, 42.28517, 42.73836, 2.20749, 1.83794, 3.4187, 1.56682, 3.45773, 1.57483, 14.1652, 14.08129, 3.15651, 42.33077, 2.09587, 2.01741, 1.52559, 3.07775, 14.53049, 1099.55
9, 11/04/2023 15:38:42, 60.058, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 98.71919, 95.93581, 2.8255, 2.15295, 1124.81061, 2.16347, 94.70669, 2.86016, 1129.5567, 42.33211, 42.74634, 2.18389, 1.84238, 3.38865, 1.5663, 3.40965, 1.58371, 14.17193, 14.10873, 3.50829, 43.65032, 1.51916, 1.6383, 1.55147, 2.54178, 14.36032, 1110.39
10, 11/04/2023 15:39:42, 60.058, 60.06, Pila 2623 norte[Pila 2623 norte], AC mantencion 03-03-2016 ., 107.34042, 96.05037, 2.79437, 2.17205, 1118.00748, 2.17791, 95.08358, 2.84565, 1127.67804, 42.42583, 42.87617, 2.11097, 1.69761, 3.40484, 1.56335, 3.45887, 1.59244, 14.13772, 14.11525, 2.43493, 45.30235, -0.12821, 2.64968, 1.47262, 3.90196, 13.08673, 1070.32
