Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis]
1, 26/04/2023 17:10:22, 60.056, 0, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 89.98918, 76.54511, 2.97467, 2.13061, 1144.04541, 2.14823, 74.59552, 2.99042, 1126.65668, 39.67708, 40.06203, 2.71933, 2.58662, 3.86737, 1.80025, 3.81376, 1.78998, 16.94856, 16.66931, 3.41243, 41.59933, 2.51877, 1.66214, 1.64817, 2.73948, 14.97255
2, 26/04/2023 17:11:22, 60.063, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 84.66888, 77.97709, 2.97483, 2.13837, 1145.25426, 2.15124, 75.10615, 2.99748, 1125.63651, 39.74464, 40.23841, 2.7207, 2.5855, 3.84116, 1.78556, 3.76423, 1.76033, 16.86599, 16.43459, 3.13556, 40.88671, 2.74348, 2.21112, 1.53539, 3.39493, 15.45933
3, 26/04/2023 17:12:22, 60.059, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 88.80336, 79.43474, 2.97245, 2.13743, 1148.16305, 2.15446, 75.74972, 2.99159, 1125.52814, 39.80969, 40.39705, 2.74234, 2.61899, 3.82321, 1.77455, 3.71187, 1.7366, 16.74621, 16.19531, 2.87631, 40.94861, 3.12412, 2.21894, 1.57956, 3.50495, 14.62464
4, 26/04/2023 17:13:22, 60.062, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 84.30404, 80.18707, 2.94781, 2.1923, 1146.48551, 2.18164, 76.14345, 2.97517, 1123.94724, 39.90244, 40.562, 2.68077, 2.51398, 3.84566, 1.76273, 3.74828, 1.70975, 16.68594, 16.08925, 2.66685, 41.71233, 1.47927, 2.79595, 1.53211, 4.2837, 15.50993
5, 26/04/2023 17:14:22, 60.059, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 92.96371, 81.4346, 2.97404, 2.19963, 1144.98759, 2.16777, 76.85098, 3.0015, 1122.59039, 40.02568, 40.73013, 2.67643, 2.51899, 3.78479, 1.74593, 3.68072, 1.67334, 16.60046, 15.92316, 3.73647, 42.43308, 2.58787, 1.82405, 1.41106, 2.57384, 14.88945
6, 26/04/2023 17:15:22, 60.058, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 89.85156, 82.43479, 2.97521, 2.2142, 1142.54215, 2.18102, 77.3909, 3.0024, 1122.59401, 40.10571, 40.87121, 2.66651, 2.48263, 3.77185, 1.7294, 3.6546, 1.65053, 16.51692, 15.78385, 3.0232, 41.74228, 2.4616, 2.52386, 1.38854, 3.50447, 14.79254
7, 26/04/2023 17:16:22, 60.063, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 90.18063, 83.81831, 3.00519, 2.19979, 1136.50387, 2.16566, 77.8969, 3.02756, 1121.10404, 40.23452, 41.11605, 2.60002, 2.39066, 3.72348, 1.71933, 3.57661, 1.62589, 16.47847, 15.63448, 3.7777, 43.11432, 1.11055, 1.76735, 1.49369, 2.63986, 15.61532
8, 26/04/2023 17:17:22, 60.058, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 81.17493, 84.78642, 2.96561, 2.25581, 1132.56151, 2.19471, 78.02475, 3.01584, 1120.12684, 40.23915, 41.18175, 2.59139, 2.37277, 3.74578, 1.70673, 3.61046, 1.60052, 16.44389, 15.45374, 2.74958, 40.34382, 2.38654, 3.03598, 1.40774, 4.27386, 15.62202
9, 26/04/2023 17:18:23, 60.06, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 86.22905, 85.61196, 2.92869, 2.28693, 1129.58815, 2.20296, 78.33149, 3.00696, 1119.62292, 40.29564, 41.32045, 2.57441, 2.30335, 3.75042, 1.70244, 3.64255, 1.59277, 16.39656, 15.33261, 2.79322, 41.65746, 2.16479, 2.41543, 1.59902, 3.86232, 15.25476
10, 26/04/2023 17:19:23, 60.062, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 90.87287, 86.564, 2.97438, 2.23706, 1123.40477, 2.18389, 78.75001, 3.01472, 1118.793, 40.28773, 41.28346, 2.63195, 2.45795, 3.71146, 1.69947, 3.52702, 1.57663, 16.31244, 15.1802, 3.2551, 40.06905, 4.05901, 1.6878, 1.62473, 2.74222, 14.21487
11, 26/04/2023 17:20:23, 60.058, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 89.23225, 87.08747, 3.01115, 2.2201, 1119.52481, 2.18594, 79.11083, 3.01338, 1118.67481, 40.34458, 41.42775, 2.62023, 2.39928, 3.70227, 1.69367, 3.47185, 1.56383, 16.25999, 15.16321, 2.9762, 41.79831, 2.31881, 2.24379, 1.54445, 3.46543, 14.91038
12, 26/04/2023 17:21:23, 60.062, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 93.86914, 88.04638, 3.0171, 2.23727, 1123.95899, 2.19526, 79.62988, 3.0062, 1123.20932, 40.4212, 41.52525, 2.59365, 2.38916, 3.69771, 1.6844, 3.44396, 1.53936, 16.17971, 15.03517, 2.82039, 42.27502, 1.94958, 2.45728, 1.45974, 3.587, 14.23379
13, 26/04/2023 17:22:23, 60.059, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 104.30582, 89.22599, 3.029, 2.25602, 1133.92843, 2.20269, 80.43993, 3.00471, 1129.41004, 40.49792, 41.52156, 2.63071, 2.55313, 3.67277, 1.6674, 3.39458, 1.50468, 16.04567, 14.83987, 2.96128, 42.23837, 3.49764, 2.43509, 1.26523, 3.08095, 12.87029
14, 26/04/2023 17:23:23, 60.057, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 99.12172, 89.99127, 3.07391, 2.21679, 1141.38895, 2.18836, 81.03004, 3.0198, 1133.02593, 40.56179, 41.59548, 2.63791, 2.57526, 3.62835, 1.65802, 3.31035, 1.49331, 15.96377, 14.76601, 3.55686, 42.19417, 2.82301, 1.75042, 1.41387, 2.47486, 13.83167
15, 26/04/2023 17:24:23, 60.062, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 110.0048, 91.72908, 3.11814, 2.18432, 1154.13677, 2.18045, 81.92136, 3.03542, 1139.22145, 40.6819, 41.82278, 2.63795, 2.54119, 3.57903, 1.64142, 3.20961, 1.46939, 15.84626, 14.58977, 3.61326, 43.60932, 2.63445, 1.91301, 1.22436, 2.34221, 12.88695
16, 26/04/2023 17:25:23, 60.059, 60.06, Pila 3023 norte[Pila 3023 norte], AC mantencion 03-03-2016 ., 99.41038, 92.38213, 3.11013, 2.17513, 1164.23678, 2.15984, 82.46023, 3.04232, 1144.56685, 40.73083, 41.85308, 2.64836, 2.57145, 3.54248, 1.64016, 3.19251, 1.46773, 15.76724, 14.49397, 3.27349, 42.02841, 2.92638, 1.59574, 1.60599, 2.56275, 13.64634
