Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis]
1, 03/05/2023 07:41:38, 60.06, 0, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 99.6313, 98.52717, 2.85276, 2.09169, 1153.5666, 2.10396, 102.45134, 2.90249, 1146.43602, 43.07435, 42.73004, 2.13919, 2.16663, 3.11929, 1.48258, 3.26148, 1.55926, 13.35689, 13.7524, 2.52927, 42.0942, 2.74614, 2.47662, 1.49856, 3.71137, 13.17732
2, 03/05/2023 07:42:38, 60.06, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 100.22833, 97.35395, 2.88699, 2.03229, 1155.52556, 2.06301, 102.34532, 2.93168, 1148.89887, 43.01103, 42.49099, 2.21244, 2.32676, 3.07141, 1.4888, 3.2185, 1.58368, 13.36908, 13.86381, 3.64322, 41.75123, 3.66114, 1.31782, 1.61151, 2.12368, 13.6081
3, 03/05/2023 07:43:38, 60.059, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 98.01941, 96.02667, 2.87483, 2.03856, 1161.60312, 2.05976, 102.14418, 2.92655, 1151.77407, 42.96113, 42.2967, 2.23324, 2.38251, 3.07717, 1.49394, 3.26345, 1.60086, 13.37757, 13.98407, 2.82473, 41.91956, 2.6672, 1.99669, 1.60129, 3.19728, 13.55463
4, 03/05/2023 07:44:38, 60.061, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 92.79505, 94.78837, 2.87967, 2.03557, 1160.72967, 2.06191, 101.73683, 2.93106, 1151.24879, 42.89222, 42.11537, 2.2713, 2.47918, 3.0813, 1.4944, 3.28547, 1.61403, 13.41167, 14.10892, 3.03343, 41.29183, 3.15533, 2.11128, 1.50497, 3.17742, 14.20368
5, 03/05/2023 07:45:38, 60.061, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 93.92114, 94.04197, 2.84967, 2.05985, 1160.87032, 2.07975, 101.41256, 2.91824, 1151.54891, 42.82177, 41.95046, 2.30868, 2.5621, 3.10652, 1.49369, 3.34188, 1.62238, 13.42454, 14.14653, 2.64694, 41.1283, 3.2055, 2.51318, 1.47675, 3.71133, 13.7325
6, 03/05/2023 07:46:38, 60.058, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 102.80375, 93.71855, 2.81256, 2.09504, 1159.76649, 2.08666, 101.4669, 2.90731, 1151.85737, 42.87839, 42.08281, 2.24682, 2.37128, 3.12259, 1.49646, 3.42138, 1.63308, 13.42898, 14.21595, 2.6592, 44.29237, 0.69349, 2.252, 1.56551, 3.52553, 13.5381
7, 03/05/2023 07:47:39, 60.061, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 89.0413, 93.00932, 2.80717, 2.09756, 1159.59113, 2.095, 100.95371, 2.90779, 1151.76674, 42.87606, 42.13373, 2.21119, 2.2494, 3.14172, 1.49963, 3.4588, 1.64896, 13.49608, 14.33834, 2.91917, 42.80483, 1.26968, 2.3032, 1.58306, 3.64611, 15.26486
8, 03/05/2023 07:48:39, 60.059, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 83.06638, 92.64346, 2.81347, 2.09357, 1160.22344, 2.10721, 100.18045, 2.90921, 1153.64193, 42.83035, 42.16062, 2.21121, 2.21538, 3.16693, 1.5029, 3.46573, 1.65542, 13.58548, 14.40818, 2.9408, 41.63089, 2.21135, 2.40849, 1.58809, 3.82491, 15.91856
9, 03/05/2023 07:49:39, 60.062, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 83.58837, 91.82275, 2.81924, 2.13215, 1164.46857, 2.11737, 99.48932, 2.91068, 1156.18224, 42.8122, 42.03605, 2.16226, 2.23337, 3.19087, 1.507, 3.49968, 1.64139, 13.67399, 14.49394, 2.94509, 42.2747, 0.8278, 2.37435, 1.61698, 3.83926, 16.06911
10, 03/05/2023 07:50:39, 60.059, 60.06, Pila 3223 norte[Pila 3223 norte], AC mantencion 03-03-2016 ., 88.49512, 91.55963, 2.81004, 2.17407, 1169.30515, 2.1241, 99.08606, 2.91277, 1156.7494, 42.77435, 42.00869, 2.16323, 2.2224, 3.20211, 1.50751, 3.53854, 1.62761, 13.71804, 14.51708, 2.96867, 41.68365, 2.19111, 2.31557, 1.52227, 3.52494, 14.98352
