Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 04/06/2023 10:45:00, 60.059, 0, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 94.62191, 91.1386, 2.96496, 2.27527, 1143.24946, 2.23663, 96.81508, 2.88322, 1160.4046, 42.29121, 41.65589, 2.39719, 2.51541, 3.32108, 1.48486, 3.40675, 1.4973, 13.85658, 14.54031, 2.80276, 41.49822, 3.00917, 2.36929, 1.46742, 3.47675, 13.85732, 1161.29
2, 04/06/2023 10:46:00, 60.061, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 84.95066, 90.19753, 2.98062, 2.25789, 1140.84915, 2.22395, 96.42601, 2.89074, 1160.3993, 42.24423, 41.42323, 2.40434, 2.64787, 3.31747, 1.4917, 3.39937, 1.50555, 13.90206, 14.6197, 3.1288, 40.71712, 2.63536, 1.86811, 1.71297, 3.20002, 15.37174, 1160.23
3, 04/06/2023 10:47:00, 60.058, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 90.25736, 89.6618, 2.93844, 2.3009, 1136.05393, 2.23293, 96.24223, 2.87732, 1158.59017, 42.27582, 41.44318, 2.35164, 2.55806, 3.34407, 1.49762, 3.48423, 1.51429, 13.93108, 14.68785, 2.49289, 43.38124, 0.46741, 2.51317, 1.70816, 4.2929, 14.96, 1095.45
4, 04/06/2023 10:48:00, 60.062, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 91.01963, 89.3025, 2.90428, 2.33137, 1141.3097, 2.24282, 96.07735, 2.86282, 1160.68293, 42.2857, 41.52559, 2.31627, 2.41088, 3.37007, 1.5026, 3.55535, 1.52501, 13.94956, 14.75477, 2.4729, 42.59221, 1.15959, 2.53344, 1.66496, 4.21809, 14.5482, 1227.72
5, 04/06/2023 10:49:00, 60.057, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 98.95358, 89.39336, 2.88569, 2.3651, 1143.25793, 2.24673, 96.15845, 2.86825, 1161.44873, 42.3051, 41.62386, 2.31374, 2.33457, 3.36484, 1.49766, 3.59527, 1.52014, 13.94686, 14.76146, 3.06767, 42.96387, 2.22777, 2.39715, 1.32947, 3.18693, 13.85482, 1187.6
6, 04/06/2023 10:50:00, 60.063, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 98.85949, 89.65878, 2.85867, 2.41474, 1142.55411, 2.25354, 96.22784, 2.86811, 1161.07448, 42.28844, 41.48707, 2.33481, 2.46627, 3.36424, 1.49287, 3.62401, 1.50079, 13.93071, 14.65012, 2.86254, 41.68277, 3.10057, 2.5344, 1.31888, 3.34258, 13.34362, 1147.46
7, 04/06/2023 10:51:00, 60.057, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 105.52371, 90.75737, 2.88707, 2.40056, 1148.42993, 2.24594, 96.46746, 2.87961, 1161.71308, 42.33525, 41.7182, 2.31506, 2.35536, 3.34434, 1.48906, 3.56275, 1.48413, 13.91833, 14.57072, 3.383, 44.01102, 1.60637, 1.94494, 1.35235, 2.63023, 13.47305, 1184.83
8, 04/06/2023 10:52:00, 60.062, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 103.38033, 91.50945, 2.86998, 2.41536, 1150.90244, 2.25698, 96.63861, 2.87679, 1161.713, 42.36763, 41.81694, 2.29639, 2.3154, 3.34872, 1.48372, 3.5667, 1.47668, 13.90193, 14.4744, 2.76914, 43.5928, 1.58979, 2.74298, 1.28136, 3.51475, 13.28111, 1161.71
9, 04/06/2023 10:53:00, 60.059, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 91.87647, 91.5732, 2.90071, 2.38881, 1153.22787, 2.25371, 96.51831, 2.8837, 1161.48584, 42.33544, 41.77294, 2.31834, 2.39177, 3.3418, 1.4828, 3.516, 1.47186, 13.91266, 14.46836, 3.17432, 41.06881, 3.18184, 2.12144, 1.44675, 3.06919, 14.335, 1152.57
10, 04/06/2023 10:54:00, 60.06, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 108.0297, 93.14117, 2.87386, 2.43942, 1158.87664, 2.25643, 96.79547, 2.8877, 1163.10963, 42.36793, 41.94774, 2.31767, 2.36993, 3.33186, 1.47661, 3.52072, 1.44326, 13.88542, 14.26577, 3.05894, 43.56817, 2.29223, 2.37746, 1.24538, 2.96085, 12.86661, 1224.62
11, 04/06/2023 10:55:00, 60.062, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 89.36054, 93.02401, 2.90328, 2.41546, 1162.96313, 2.2538, 96.59584, 2.89528, 1163.68229, 42.40269, 42.11544, 2.2749, 2.23289, 3.33256, 1.47865, 3.49773, 1.44806, 13.92981, 14.35899, 3.19595, 43.80795, 0.53818, 2.15252, 1.56123, 3.36057, 15.72984, 1186.66
12, 04/06/2023 10:56:00, 60.058, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 102.08809, 94.12261, 2.90415, 2.41427, 1162.20904, 2.25798, 96.71658, 2.90018, 1162.95389, 42.42246, 42.37718, 2.26811, 2.06793, 3.32678, 1.47334, 3.47698, 1.44018, 13.92121, 14.28015, 3.13441, 43.27119, 1.97664, 2.47145, 1.24545, 3.07805, 13.5516, 1131.54
13, 04/06/2023 10:57:00, 60.061, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 93.24177, 94.84318, 2.89427, 2.40444, 1165.22006, 2.27253, 96.63612, 2.89128, 1162.68611, 42.425, 42.55719, 2.25037, 1.94532, 3.34516, 1.472, 3.47173, 1.44388, 13.92776, 14.22712, 2.55449, 42.53101, 1.47188, 2.9379, 1.41294, 4.15107, 14.21322, 1151.07
14, 04/06/2023 10:58:00, 60.06, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 86.88701, 94.40753, 2.92673, 2.37743, 1165.20247, 2.28186, 96.41491, 2.8927, 1161.59203, 42.38907, 42.52455, 2.27275, 1.98172, 3.35255, 1.46922, 3.43971, 1.44682, 13.94795, 14.30154, 2.95517, 40.73636, 3.30224, 2.75273, 1.34147, 3.69269, 14.87678, 1111.3
15, 04/06/2023 10:59:01, 60.059, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 90.14736, 95.04074, 2.92442, 2.38896, 1162.76007, 2.28213, 96.27575, 2.89853, 1161.15487, 42.36833, 42.47457, 2.28799, 2.10263, 3.34988, 1.46787, 3.41986, 1.43153, 13.96439, 14.18749, 3.17746, 41.41262, 2.98915, 2.29534, 1.40585, 3.22691, 14.72044, 1141.16
16, 04/06/2023 11:00:01, 60.059, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 95.35182, 95.08958, 2.94148, 2.3695, 1166.62296, 2.27807, 96.25498, 2.9019, 1162.3972, 42.36719, 42.52845, 2.28829, 2.05626, 3.34531, 1.46848, 3.39689, 1.43359, 13.96914, 14.20873, 3.05536, 42.31686, 2.30128, 2.10332, 1.49523, 3.14495, 14.17742, 1216.85
17, 04/06/2023 11:01:01, 60.063, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 91.78952, 95.57763, 2.97119, 2.3416, 1166.82809, 2.25971, 96.15706, 2.91581, 1162.41668, 42.36635, 42.63395, 2.28686, 2.02914, 3.32653, 1.4721, 3.3464, 1.42911, 13.99191, 14.18891, 3.68102, 42.32686, 2.21998, 1.49211, 1.64123, 2.4489, 15.05587, 1163.33
18, 04/06/2023 11:02:01, 60.057, 60.06, Pila 4223 norte[Pila 4223 norte], AC mantencion 03-03-2016 ., 89.29264, 95.50797, 2.9728, 2.35667, 1169.18848, 2.26962, 96.01409, 2.90638, 1161.85685, 42.35848, 42.54429, 2.27273, 2.09519, 3.34477, 1.47372, 3.34632, 1.41994, 14.00436, 14.16916, 2.51612, 41.94657, 1.56336, 2.74003, 1.55386, 4.25761, 14.62233, 1134.36
