Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 14/07/2023 08:59:19, 60.061, 0, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 98.54655, 88.65036, 2.80931, 1.8863, 1133.2926, 1.75149, 86.18807, 2.88381, 1168.61632, 41.11454, 40.84589, 2.63179, 3.09026, 3.3509, 1.91317, 3.3977, 1.80124, 15.1806, 14.60542, 2.96484, 42.32416, 2.61069, 1.941, 1.57003, 3.04742, 13.68997, 1170.03
2, 14/07/2023 09:00:19, 60.059, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 95.43152, 90.2806, 2.82888, 1.85379, 1134.5501, 1.75276, 86.9359, 2.89547, 1163.28214, 41.18781, 41.06921, 2.6395, 3.04211, 3.3169, 1.89238, 3.31461, 1.78802, 15.0833, 14.43471, 3.03406, 41.95357, 2.72017, 1.76806, 1.67462, 2.96082, 14.06418, 1107.11
3, 14/07/2023 09:01:19, 60.059, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 86.91995, 90.79324, 2.86913, 1.79232, 1129.73051, 1.72304, 86.93455, 2.92789, 1162.61393, 41.252, 41.27996, 2.5958, 2.90311, 3.26955, 1.89755, 3.23407, 1.8044, 15.12868, 14.45601, 3.32365, 41.95905, 2.11415, 1.40592, 1.95446, 2.74781, 15.62871, 1155.23
4, 14/07/2023 09:02:19, 60.062, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 91.00179, 90.30242, 2.84711, 1.8107, 1137.78677, 1.75902, 87.24679, 2.90253, 1162.25348, 41.44316, 41.51346, 2.42017, 2.60863, 3.32248, 1.88882, 3.30409, 1.82476, 15.126, 14.60238, 2.62481, 43.76587, 0.27909, 2.22593, 1.7822, 3.96705, 15.09067, 1157.92
5, 14/07/2023 09:03:19, 60.059, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 82.21123, 88.19907, 2.85427, 1.81782, 1149.77335, 1.78893, 86.88074, 2.88678, 1161.61874, 41.35438, 41.33845, 2.46414, 2.59777, 3.36516, 1.8811, 3.36562, 1.85146, 15.14479, 14.89093, 2.69791, 40.18827, 3.04132, 2.20572, 1.7796, 3.92529, 15.39128, 1153.32
6, 14/07/2023 09:04:19, 60.059, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 91.93937, 87.20833, 2.90376, 1.77095, 1160.52046, 1.77095, 87.20833, 2.90376, 1160.52046, 41.44916, 41.44916, 2.40554, 2.40554, 3.33101, 1.88092, 3.33101, 1.88092, 15.13418, 15.13418, 3.16972, 42.78678, 1.57808, 1.51658, 1.87845, 2.84882, 14.98409, 1144.95
7, 14/07/2023 09:05:19, 60.062, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 85.03033, 88.76794, 2.9509, 1.78661, 1163.84467, 1.78453, 87.07144, 2.90554, 1159.21538, 41.42338, 41.64677, 2.43713, 2.41358, 3.34119, 1.87231, 3.25108, 1.81969, 15.148, 14.96335, 2.93234, 41.03097, 2.91522, 2.00668, 1.74176, 3.49516, 15.35645, 1139.31
8, 14/07/2023 09:06:19, 60.058, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 90.28805, 89.69582, 2.97109, 1.79573, 1155.01503, 1.77874, 87.25136, 2.92478, 1156.11279, 41.5039, 41.9254, 2.35809, 2.19388, 3.31744, 1.86505, 3.22497, 1.79591, 15.15762, 14.91748, 3.2873, 42.85934, 1.02698, 1.67391, 1.74283, 2.91734, 15.31938, 1104.08
9, 14/07/2023 09:07:19, 60.06, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 78.83596, 89.32367, 2.9701, 1.83555, 1150.22001, 1.8016, 86.76843, 2.92757, 1155.17982, 41.39463, 41.93489, 2.42482, 2.18124, 3.33897, 1.85334, 3.26451, 1.77849, 15.20084, 14.97821, 2.97421, 39.50315, 3.57941, 2.24846, 1.6507, 3.71153, 15.94838, 1139.11
10, 14/07/2023 09:08:19, 60.06, 60.06, Pila 5323 Sur[Pila 5323 Sur], AC mantencion 03-03-2016 ., 86.02329, 89.59935, 2.98784, 1.85928, 1143.39398, 1.82047, 86.72964, 2.93019, 1156.28839, 41.30069, 41.75866, 2.50694, 2.36327, 3.34213, 1.83586, 3.23762, 1.74133, 15.17251, 14.87633, 2.97888, 39.64771, 3.95139, 2.22293, 1.52841, 3.39756, 14.6739, 1175.86
