Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 06/08/2023 13:40:05, 60.06, 0, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 94.68076, 87.65761, 2.78953, 2.23258, 1138.18354, 2.16175, 86.82813, 2.80279, 1138.07733, 40.81423, 41.11807, 2.94015, 2.67949, 3.62732, 1.67796, 3.6703, 1.64397, 14.86959, 14.8243, 2.6034, 41.4347, 2.97329, 2.52837, 1.49087, 3.76948, 13.69482, 1102.04, 151.5472
2, 06/08/2023 13:41:05, 60.058, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 95.61251, 88.41268, 2.81713, 2.15922, 1131.91301, 2.06702, 87.72279, 2.85453, 1130.25735, 41.04743, 41.28304, 2.81711, 2.60581, 3.50401, 1.69519, 3.58571, 1.66065, 14.84129, 14.77965, 3.39285, 43.0092, 1.77837, 1.33821, 1.84039, 2.46282, 14.60016, 1063.39, 169.2703
3, 06/08/2023 13:42:05, 60.061, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 95.33506, 88.8973, 2.82952, 2.13044, 1127.80748, 2.05177, 88.42911, 2.88056, 1126.65052, 41.11498, 41.26308, 2.85119, 2.69335, 3.44575, 1.6794, 3.53609, 1.6598, 14.7633, 14.70183, 3.1588, 41.72349, 3.16225, 1.8977, 1.53463, 2.91226, 14.04683, 1093.14, 187.4893
4, 06/08/2023 13:43:05, 60.059, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 86.29405, 89.1034, 2.84233, 2.119, 1127.81348, 2.04408, 88.23167, 2.9053, 1126.64137, 41.10334, 41.2268, 2.85333, 2.75261, 3.42226, 1.67423, 3.50491, 1.65403, 14.80685, 14.66342, 3.16967, 40.98607, 2.87469, 1.96423, 1.62237, 3.18671, 15.2432, 1126.55, 206.2651
5, 06/08/2023 13:44:06, 66.066, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 93.64078, 89.29447, 2.87155, 2.09284, 1116.91475, 2.02592, 88.68519, 2.92573, 1114.33183, 41.27389, 41.32508, 2.72672, 2.66285, 3.38804, 1.67235, 3.46073, 1.65361, 14.80531, 14.68609, 3.16644, 43.11582, 1.35942, 1.82716, 1.65199, 3.01845, 14.78867, 981.259, 225.3451
6, 06/08/2023 13:45:12, 60.063, 66.07, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 105.53382, 90.09344, 2.8745, 2.08213, 1117.30166, 2.02124, 89.90794, 2.92694, 1117.51785, 41.51715, 41.5848, 2.61276, 2.50152, 3.35794, 1.66133, 3.44296, 1.65357, 14.69113, 14.64997, 2.94258, 44.31298, 1.29819, 1.96239, 1.53395, 3.0102, 13.37152, 1154.82, 244.5921
7, 06/08/2023 13:46:12, 60.058, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 105.7504, 91.12437, 2.90275, 2.06732, 1118.16898, 2.01936, 90.93079, 2.93731, 1118.31861, 41.62591, 41.64825, 2.60777, 2.57485, 3.31742, 1.64281, 3.37215, 1.63117, 14.56971, 14.52337, 3.09514, 42.99989, 2.54335, 1.99113, 1.40591, 2.79936, 13.01592, 1128.73, 263.4043
8, 06/08/2023 13:47:12, 60.062, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 94.82745, 91.18333, 2.92309, 2.04464, 1118.94276, 2.04464, 91.18333, 2.92309, 1118.94276, 41.64534, 41.64534, 2.61093, 2.61093, 3.33726, 1.6322, 3.33726, 1.6322, 14.52615, 14.52615, 2.73028, 41.91471, 2.65487, 2.43438, 1.48437, 3.61352, 13.91866, 1127.69, 282.1991
9, 06/08/2023 13:48:12, 60.058, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 92.20889, 92.24572, 2.93604, 2.06809, 1118.34377, 2.07839, 91.24661, 2.91721, 1120.87821, 41.58432, 41.76099, 2.67756, 2.60908, 3.35322, 1.61338, 3.30682, 1.59897, 14.48859, 14.4036, 2.83007, 40.68752, 3.65646, 2.68378, 1.33681, 3.58772, 13.93676, 1149.39, 301.3555
10, 06/08/2023 13:49:12, 60.061, 60.06, Pila 6023 Norte[Pila 6023 Norte], AC mantencion 03-03-2016 ., 96.70807, 93.54462, 2.94149, 2.08874, 1112.21106, 2.09318, 91.54261, 2.92097, 1120.38282, 41.50635, 41.74889, 2.80764, 2.77008, 3.33965, 1.59549, 3.26469, 1.563, 14.41542, 14.20058, 2.98821, 40.24876, 4.87955, 2.38364, 1.30985, 3.12222, 13.244, 1112.33, 319.8943
