Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 15/10/2023 13:33:45, 60.06, 0, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 89.7093, 92.78521, 2.97751, 2.69909, 1065.6735, 2.49098, 89.97839, 2.89305, 1064.26396, 42.41184, 42.76507, 1.63778, 1.67225, 3.68436, 1.47908, 3.58773, 1.32924, 14.93809, 14.64031, 2.99557, 41.68112, 2.85903, 1.27673, 3.65022, 14.75904, 1079.24, 141.8556
2, 15/10/2023 13:34:45, 60.061, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 85.48231, 92.06071, 2.9993, 2.59156, 1065.7441, 2.43576, 89.46998, 2.93146, 1064.9629, 42.22178, 42.63601, 1.80786, 1.72831, 3.62317, 1.48749, 3.54362, 1.36737, 14.98171, 14.72952, 3.26646, 40.71504, 2.01929, 1.55412, 3.13822, 15.32733, 1070.52, 159.6976
3, 15/10/2023 13:35:46, 60.059, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 79.2011, 91.1137, 2.95485, 2.62503, 1069.99442, 2.48334, 88.33171, 2.929, 1072.38149, 41.94344, 42.34897, 1.97213, 1.88671, 3.66801, 1.47705, 3.61622, 1.37759, 15.06989, 14.75595, 2.90939, 39.57778, 2.91637, 1.38827, 4.04872, 15.81835, 1135.01, 178.6144
4, 15/10/2023 13:36:46, 60.062, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 95.6689, 91.12199, 2.97187, 2.5545, 1077.54954, 2.48216, 89.02524, 2.93829, 1078.59066, 42.18372, 42.41069, 1.82926, 1.83161, 3.64953, 1.4703, 3.57659, 1.40011, 15.04352, 14.79011, 3.02993, 44.43388, 2.47055, 1.40707, 3.47623, 14.79605, 1137.11, 197.5662
5, 15/10/2023 13:37:46, 60.06, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 92.30972, 90.39398, 3.0241, 2.46473, 1080.4728, 2.4475, 89.30576, 2.97828, 1083.33558, 42.1762, 42.31087, 1.8894, 1.87709, 3.57995, 1.4627, 3.50703, 1.42289, 15.01844, 14.90858, 3.4752, 42.08994, 2.06802, 1.38406, 2.86228, 14.75689, 1132.98, 216.4492
6, 15/10/2023 13:38:46, 60.057, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 81.3694, 88.85425, 3.05977, 2.42678, 1077.04295, 2.41152, 88.6897, 3.02953, 1080.30403, 42.01991, 42.05793, 2.00951, 1.98795, 3.52262, 1.46075, 3.49441, 1.43993, 15.09728, 15.09795, 3.78352, 40.08182, 1.95751, 1.43649, 2.81194, 16.07403, 1042.54, 233.8249
7, 15/10/2023 13:39:46, 60.063, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 82.10462, 88.21984, 2.99983, 2.46935, 1075.95164, 2.45012, 88.21274, 2.99209, 1079.16164, 41.92071, 41.93937, 2.03224, 2.01619, 3.58861, 1.46467, 3.58945, 1.4536, 15.11989, 15.12829, 2.57564, 40.58811, 2.94675, 1.51685, 4.46978, 15.4194, 1064.1, 251.56
8, 15/10/2023 13:40:46, 60.056, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 82.59232, 87.80046, 3.01772, 2.4285, 1084.61735, 2.4285, 87.80046, 3.01772, 1084.61735, 41.81825, 41.81825, 2.11545, 2.11545, 3.5606, 1.46617, 3.5606, 1.46617, 15.16936, 15.16936, 3.37815, 40.48302, 2.15089, 1.48569, 3.19556, 15.81394, 1155.86, 270.8243
9, 15/10/2023 13:41:46, 60.06, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 79.20257, 88.32565, 2.99394, 2.51414, 1090.18349, 2.47288, 87.22355, 3.00341, 1086.28678, 41.69921, 41.75438, 2.17546, 2.22988, 3.60725, 1.45872, 3.5933, 1.42924, 15.2152, 15.03718, 2.81581, 39.94518, 3.18295, 1.34904, 4.29391, 15.88947, 1110.71, 289.3362
10, 15/10/2023 13:42:46, 60.064, 60.06, Pila 7623 Norte[Pila 7623 Norte], AC mantencion 03-03-2016 ., 90.34807, 89.58051, 2.99913, 2.51867, 1101.36106, 2.47063, 87.42307, 3.00013, 1094.72026, 41.71766, 41.91323, 2.16165, 2.18003, 3.60321, 1.45842, 3.55271, 1.41055, 15.18555, 14.88546, 2.95274, 41.98033, 2.43841, 1.45408, 3.54564, 14.76289, 1215.2, 309.5895
