Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 05/11/2023 07:35:00, 60.059, 0, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 150.22057, 91.97162, 2.67609, 2.12595, 1056.44573, 2.62451, 150.22057, 2.84037, 894.773, 45.50316, 41.57964, 2.38523, 2.63918, 2.44065, 0.92995, 3.61576, 1.70077, 9.57374, 14.22754, 2.84037, 45.50316, 2.62451, 0.92995, 2.44065, 9.57374, 894.773, 14.9129
2, 05/11/2023 07:36:00, 60.061, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 120.91465, 94.10243, 2.68357, 2.1318, 1058.96868, 2.45786, 132.68206, 2.70912, 1026.78812, 44.96575, 41.7106, 2.11071, 2.71563, 2.79706, 1.13801, 3.53929, 1.66023, 10.66058, 13.95327, 2.62702, 44.50904, 2.3612, 1.30718, 3.08651, 11.54234, 1131.21, 33.7665
3, 05/11/2023 07:37:00, 60.06, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 96.75839, 95.14481, 2.67002, 2.15581, 1062.64737, 2.47883, 117.64755, 2.72016, 1073.66406, 44.05412, 41.84455, 2.17068, 2.6685, 3.08672, 1.24523, 3.5395, 1.64184, 11.78361, 13.8343, 2.73564, 42.3991, 2.50865, 1.43738, 3.60588, 13.79655, 1155.83, 53.0304
4, 05/11/2023 07:38:00, 60.06, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 88.68767, 94.50729, 2.6939, 2.14679, 1061.95328, 2.33244, 109.00223, 2.80121, 1090.45064, 43.03224, 41.72841, 2.6357, 2.74962, 3.11717, 1.33644, 3.52123, 1.64023, 12.47549, 13.90445, 3.00894, 40.12416, 2.00802, 1.59516, 3.20312, 14.4377, 1137.41, 71.9872
5, 05/11/2023 07:39:00, 60.062, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 82.09835, 94.04872, 2.68839, 2.20756, 1061.1072, 2.41771, 102.58301, 2.80912, 1091.85043, 42.65418, 41.64263, 2.60208, 2.79949, 3.3085, 1.36844, 3.56739, 1.61599, 13.13809, 13.93493, 2.83469, 41.09778, 2.72569, 1.4971, 4.08061, 15.81106, 1097.36, 90.2766
6, 05/11/2023 07:40:00, 60.056, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 87.44811, 94.39485, 2.70596, 2.24326, 1059.91484, 2.4611, 99.81216, 2.7769, 1087.8916, 42.6049, 41.77485, 2.39036, 2.71402, 3.44826, 1.40111, 3.5621, 1.58791, 13.46622, 13.93572, 2.6406, 42.3284, 2.65757, 1.57009, 4.17263, 15.1642, 1067.81, 108.0735
7, 05/11/2023 07:41:00, 60.064, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 104.01211, 95.62082, 2.70706, 2.3052, 1055.43668, 2.50601, 100.36035, 2.73718, 1080.40248, 42.4747, 41.77121, 2.57558, 2.8466, 3.47993, 1.38864, 3.54296, 1.53694, 13.32616, 13.75161, 2.49583, 41.66033, 2.80607, 1.31068, 3.67786, 12.45055, 1033.41, 125.297
8, 05/11/2023 07:42:00, 60.057, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 115.83492, 98.61099, 2.70853, 2.34772, 1048.0743, 2.51282, 101.95358, 2.72423, 1069.60508, 42.49097, 42.02457, 2.62909, 2.84315, 3.44377, 1.37048, 3.47293, 1.47928, 13.11511, 13.41319, 2.61573, 42.61314, 2.57092, 1.23295, 3.16981, 11.51644, 987.396, 141.7536
9, 05/11/2023 07:43:00, 60.059, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 105.65491, 100.2921, 2.6955, 2.40919, 1039.4352, 2.54547, 102.30699, 2.71667, 1058.4672, 42.34262, 42.04181, 2.77856, 2.93432, 3.44028, 1.35153, 3.45586, 1.43445, 13.01778, 13.18181, 2.64681, 41.03249, 2.87904, 1.18421, 3.4094, 12.15839, 959.766, 157.7497
10, 05/11/2023 07:44:01, 60.062, 60.06, Pila 8123 Sur[Pila 8123 Sur], AC mantencion 03-03-2016 ., 137.3216, 103.37758, 2.68217, 2.47499, 1035.10968, 2.5967, 105.08366, 2.694, 1054.16709, 42.54461, 42.248, 2.77726, 2.95561, 3.40839, 1.31259, 3.40931, 1.3775, 12.71833, 12.83903, 2.45254, 44.34054, 3.25076, 0.95882, 3.11689, 9.99586, 1014.03, 174.6503
