Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis], "Tons"  [CurrentProduct.Dry basis]
1, 08/11/2023 13:03:04, 60.061, 0, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 66.84542, 78.69917, 2.8354, 2.31531, 1118.52285, 2.6078, 66.84542, 2.56956, 932.817, 38.01496, 40.42533, 2.82726, 2.39228, 4.99605, 1.91581, 4.00402, 1.72937, 17.76047, 16.25645, 2.56956, 38.01496, 2.6078, 1.91581, 4.99605, 17.76047, 932.817, 15.547
2, 08/11/2023 13:04:04, 60.059, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 71.01511, 76.93184, 2.83381, 2.32476, 1111.66945, 2.74747, 69.12949, 2.55425, 1043.2885, 39.04384, 40.29637, 2.17381, 2.28188, 5.05562, 1.8401, 4.08978, 1.75923, 17.61342, 16.57496, 2.54172, 39.88123, 2.87014, 1.77831, 5.10401, 17.49292, 1134.15, 34.4494
3, 08/11/2023 13:05:05, 60.063, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 81.31569, 76.18346, 2.82816, 2.33771, 1110.22489, 2.6902, 73.24775, 2.65343, 1091.00983, 39.48059, 40.07991, 2.46351, 2.3767, 4.64138, 1.72529, 4.12162, 1.7631, 16.8935, 16.64293, 2.86842, 40.21407, 2.57188, 1.52766, 3.92894, 15.65183, 1174.96, 54.0321
4, 08/11/2023 13:06:05, 60.058, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 89.30353, 75.34613, 2.82009, 2.36037, 1107.27381, 2.64113, 77.0213, 2.69998, 1097.85252, 40.04985, 39.85916, 2.47008, 2.50299, 4.38863, 1.66165, 4.16645, 1.76517, 16.33563, 16.72772, 2.86179, 41.62586, 2.48026, 1.48142, 3.67432, 14.75466, 1117.7, 72.6604
5, 08/11/2023 13:07:05, 60.057, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 102.81017, 75.86681, 2.79591, 2.38254, 1098.63504, 2.75274, 81.53808, 2.61515, 1096.43511, 40.9713, 40.01679, 2.07984, 2.4163, 4.40827, 1.60141, 4.19713, 1.76162, 15.7162, 16.66016, 2.2705, 44.58016, 3.28657, 1.36445, 4.48436, 13.27971, 1090.77, 90.8399
6, 08/11/2023 13:08:05, 60.064, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 93.1794, 76.11484, 2.82225, 2.34397, 1090.12727, 2.62325, 83.30685, 2.68595, 1086.88277, 41.37023, 40.20782, 1.9155, 2.25467, 4.203, 1.60221, 4.14936, 1.77023, 15.59253, 16.70654, 3.15017, 43.42732, 1.95478, 1.60605, 3.13947, 14.94916, 1036.66, 108.1176
7, 08/11/2023 13:09:05, 60.058, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 98.83118, 76.40869, 2.86167, 2.31281, 1088.74949, 2.61433, 85.39901, 2.70425, 1097.31438, 41.4732, 40.14217, 2.04422, 2.40494, 4.0821, 1.56143, 4.06055, 1.75568, 15.26151, 16.6441, 2.82711, 42.02444, 2.55555, 1.33669, 3.41598, 13.43634, 1155.86, 127.3819
8, 08/11/2023 13:10:05, 60.061, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 108.09986, 77.12864, 2.89155, 2.37261, 1086.15402, 2.61489, 87.96635, 2.71728, 1100.50961, 41.88363, 40.34916, 1.92116, 2.31654, 3.9855, 1.52415, 4.03573, 1.70097, 14.9713, 16.58797, 2.82347, 44.60087, 2.61952, 1.27516, 3.3403, 13.03162, 1122.27, 146.0863
9, 08/11/2023 13:11:05, 60.061, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 107.23769, 79.08757, 2.85655, 2.38835, 1089.82575, 2.56487, 89.94737, 2.65985, 1112.14714, 41.83564, 40.54364, 2.19671, 2.38071, 3.94675, 1.53877, 4.00521, 1.67698, 14.59067, 16.23145, 2.23748, 41.45792, 2.23563, 1.64097, 3.6686, 11.88009, 1197.34, 166.042
10, 08/11/2023 13:12:05, 60.058, 60.06, Pila 8223 Norte[Pila 8223 Norte], AC mantencion 03-03-2016 ., 142.68232, 83.33804, 2.78696, 2.3328, 1097.08302, 2.42002, 94.14131, 2.63233, 1120.77791, 42.32816, 41.06734, 2.08025, 2.28957, 3.78957, 1.56592, 3.90871, 1.67555, 14.09744, 15.56308, 2.34921, 46.25763, 1.4117, 1.78333, 2.51752, 10.10363, 1192.86, 185.9231
